ItemId	Desc	ItemCount1	ItemCount2	ItemCount3	ItemCount4	ItemCount5	ItemCount6	ItemCount7	ItemCount8	ItemCount9	ItemCount10	ItemCount11	ItemCount12	SilverBoard	OneUp	ForbidStall
2531	初级魂石·黄玉英		0.5	0.5	0.5	0	0	0	0	0	0	0	0	1	1	1
2532	初级魂石·道一真人		0.5	0.5	0.5	0	0	0	0	0	0	0	0	1	1	1
2533	初级魂石·端木睿		0.5	0.5	0.5	0	0	0	0	0	0	0	0	1	1	1
2534	初级魂石·孟知秋		0.5	0.5	0.5	0	0	0	0	0	0	0	0	1	1	1
2535	初级魂石·李显忠		0.5	0.5	0.5	0	0	0	0	0	0	0	0	1	1	1
2536	初级魂石·徒单克宁		0.5	0.5	0.5	0	0	0	0	0	0	0	0	1	1	1
4540	初级魂石·冰鳞蜥皇							0	0	0	0	0	0	1	1	1
4541	初级魂石·银钩蠍皇							0	0	0	0	0	0	1	1	1
4542	初级魂石·狂鬃獒皇							0	0	0	0	0	0	1	1	1
1754	初级魂石·赤睛虎皇				0.5	0	0	0	0	0	0	0	0	1	1	1
1755	初级魂石·撼天熊皇				0.5	0	0	0	0	0	0	0	0	1	1	1
1756	初级魂石·紫背鳄皇				0.5	0	0	0	0	0	0	0	0	1	1	1
1757	初级魂石·定海金刚		0.5	0.5	0.5	0	0	0	0	0	0	0	0	1	1	1
1758	初级魂石·金翅鹏皇		0.5	0.5	0.5	0	0	0	0	0	0	0	0	1	1	1
1759	初级魂石·银角犀皇		0.5	0.5	0.5	0	0	0	0	0	0	0	0	1	1	1
2668	初级魂石·独孤剑		0.5	0.5	0.5	0	0	0	0	0	0	0	0	1	1	1
2674	初级魂石·岳飞			0.5	0.5	0	0	0	0	0	0	0	0	1	1	1
2673	初级魂石·虞姬			0.5	0.5	0	0	0	0	0	0	0	0	1	1	1
2672	初级魂石·荆轲			0.5	0.5	0	0	0	0	0	0	0	0	1	1	1
2848	初级魂石·玄因			0.5	0.5	0	0	0	0	0	0	0	0	1	1	1
2880	初级魂石·南宫飞云			0.5	0.5	0	0	0	0	0	0	0	0	1	1	1
2881	初级魂石·杨影枫				0.5	0	0	0	0	0	0	0	0	1	1	1
3022	初级魂石·雷				0.5	0	0	0	0	0	0	0	0	1	1	1
3215	初级魂石·李元霸					0.5	0.5	0	0	0	0	0	0	1	1	1
3216	初级魂石·赵云					0.5	0.5	0	0	0	0	0	0	1	1	1
3217	初级魂石·李广					0.5	0.5	0	0	0	0	0	0	1	1	1
3371	初级魂石·尹含烟					0.5	0.5	0	0	0	0	0	0	1	1	1
3372	初级魂石·璿玑子					0.5	0.5	0	0	0	0	0	0	1	1	1
3373	初级魂石·玄天道人					0.5	0.5	0	0	0	0	0	0	1	1	1
3856	初级魂石·唐仇					0.5	0.5	0	0	0	0	0	0	1	1	1
3854	初级魂石·黑面郎君					0.5	0.5	0	0	0	0	0	0	1	1	1
3855	初级魂石·何人我					0.5	0.5	0	0	0	0	0	0	1	1	1
6067	初级魂石·叶青阳					0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	1
6068	初级魂石·冰仪							0.5	0.5	0.5	0.5	0.5	0.5	1	1	1
6069	初级魂石·杨再兴						0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	1
6070	初级魂石·完颜娄室						0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	1
6100	初级魂石·萧玉竹							0.5	0.5	0.5	0.5	0.5	0.5	1	1	1
6285	初级魂石·韩蒙							0.5	0.5	0.5	0.5	0.5	0.5	1	1	1
5432	初级魂石·尹筱雨									0.5	0.5	0.5	0.5	1	1	1
6128	初级魂石·狄仁杰									0.5	0.5	0.5	0.5	1	1	1
6129	初级魂石·李元芳									0.5	0.5	0.5	0.5	1	1	1
6130	初级魂石·无字碑									0.5	0.5	0.5	0.5	1	1	1
6101	初级魂石·金兀术								0.5	0.5	0.5	0.5	0.5	1	1	1
7374	初级魂石·何怜飘				0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	1
7429	初级魂石·龙纹狮王									0.5	0.5	0.5	0.5	1	1	1
7432	初级魂石·巨螯蜂后									0.5	0.5	0.5	0.5	1	1	1
7649	初级魂石·王云潇					0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	1
7650	初级魂石·惊雪								0.5	0.5	0.5	0.5	0.5	1	1	1
7741	初级魂石·空相								0.5	0.5	0.5	0.5	0.5	1	1	1
3897	初级魂石·唐简						0.5	1	1	1	1	1	1	1	1	1
2827	初级魂石·秦始皇（阴）			0.5	1	1	1	1	1	1	1	1	1	1	1	1
2828	初级魂石·秦始皇（阳）			0.5	1	1	1	1	1	1	1	1	1	1	1	1
4053	初级魂石·完颜洪烈（真）					0.5	1	1	1	1	1	1	1	1	1	1
4595	初级魂石·项羽							0.5	1	1	1	1	1	1	1	1
4849	初级魂石·唐晓						0.5	1	1	1	1	1	1	1	1	1
6126	初级魂石·武则天（阴）							0.5	1	1	1	1	1	1	1	1
6127	初级魂石·武则天（阳）							0.5	1	1	1	1	1	1	1	1
6112	初级魂石·绝世虞姬							0.5	1	1	1	1	1	1	1	1
7377	初级魂石·虞允文								0.5	1	1	1	1	1	1	1
7648	初级魂石·王腾					0.5	1	1	1	1	1	1	1	1	1	1
