Index	NpcName	TitleID	NpcTemplateId	WalkNearLength	CanAutoPath	NpcLevel	XPos	YPos	StandDir	Quantity	NpcType	NpcCamp	NpcDroprate	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	Removewhendeath	ChangeColorScheme	HideTaskId
Marry_huatong1	鳳囍	124	2373	150	1	99	14000	4680	48	-1	0	0		0	0	0	0	0	0	0	0	
qinggong1	上升氣流		74	20		99	15414	15524	0	-1	0	0		0	0	0	0	0	0	0	0	
qinggong2	上升氣流		74	20		99	13887	15865	0	-1	0	0		0	0	0	0	0	0	0	0	
weibing1	衛兵		98	20		99	3660	11420	32	-1	0	0		0	0	0	0	0	0	0	0	
weibing2	衛兵		98	20		99	3720	11000	0	-1	0	0		0	0	0	0	0	0	0	0	
weibing3	衛兵		98	20		99	19030	11520	33	-1	0	0		0	0	0	0	0	0	0	0	
weibing4	衛兵		98	20		99	19050	10970	0	-1	0	0		0	0	0	0	0	0	0	0	
weibing5	衛兵		98	20		99	8760	18025	48	-1	0	0		0	0	0	0	0	0	0	0	
weibing6	衛兵		98	20		99	8190	18025	16	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	12967	12329	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	13674	11641	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	13689	10824	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	12982	10139	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	11477	10830	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	12163	10159	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	11465	11656	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	12189	12323	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	7884	11549	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	7881	10963	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	7740	8689	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	8250	9757	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	7102	7106	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	8137	6906	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	8861	6420	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	9100	8725	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	10752	8451	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	12160	8880	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	12959	8880	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	10855	5397	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	12608	4125	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	13462	5656	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	14808	7771	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	14551	8231	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	13558	8185	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	17415	11767	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	17431	10748	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	18566	11972	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	18553	10626	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	14223	11588	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	14216	10940	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	12737	15148	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	13800	16502	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	15170	15791	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	16105	15766	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	11396	16982	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	11328	16286	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	10755	16288	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	10716	16991	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	10145	16072	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	8839	17634	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	5509	16011	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	6354	16790	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	8929	15162	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	6537	14480	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	8218	13869	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	8743	13865	62	-1	0	0		0	0	0	0	0	0	0	0	
GoodVoice_diaoxiang	好聲音雕像（本服冠軍）	7210	2940	150			8200	11650	16	-1	0	0		0	0	0	0	0	0	0	0	
jiuguanjieyin	老闆娘	117	3213	200	1	99	5788	16055	0	-1	0	0		0	0	0	0	0	0	0	0	
JYFL_video	林青羽	66	3246	150	1	99	10755	8705	32	-1	0	0		0	0	0	0	0	0			
