szKind	nCount	nPoint	szAward		nKinMsg	nWorldMsg	szName	szDesc
Rank_3	10	30	Gold|50;item|9622|1		1		军功盖世	战场个人排名第一累计达到10次
Rank_3	100	50	Gold|100;item|9623|1		1		军神	战场个人排名第一累计达到100次
Battle_SoldierKiller	1	50	Gold|200		1		偷鸡高手	战场个人排名第一但无击杀
TeamBattle_1	1	3	Gold|10				首入通天塔	成功踏入通天塔
TeamBattle_2	1	5	Gold|10				更上一层楼	成功踏入通天塔下一层
TeamBattle_3	1	10	Gold|30				登顶成功	成功踏入通天塔第七层
TeamBattleFurniture_1	1	20	Gold|100				天外有天	成功踏入通天塔第八层
TeamBattle_3	10	30	Gold|50;item|9624|1				遥遥通天路	成功踏入通天塔第七层10次
TeamBattle_3	50	50	Gold|100;item|9625|1				一步踏天	成功踏入通天塔第七层50次
TeamBattleFurniture_1	20	60	Gold|500;item|4251|1		1		登峰造极	成功踏入通天塔第八层20次
TeamBattle_LuckyDog	1	10	Gold|20				狗屎运	在通天塔中轮空1次
WLDH	1	10	Gold|20				武林盛会	首次报名武林大会
WLDH_16	1	15	Gold|50				武林十六强	成功进入武林大会十六强
WLDH_8	1	20	Gold|100				武林八强	成功进入武林大会八强
WLDH_4	1	40	Gold|200				武林四强	成功进入武林大会四强
WLDH_2	1	60	Gold|300				问鼎冠军	成功进入武林大会决赛
WLDH_1	1	100	Gold|500		1	1	天下第一	成功夺得武林大会冠军
WLDH_Alone	1	10	Gold|20				一个人的武林	一场武林大会比赛中自己单人出赛
RankBattle_1	1	3	Gold|5				挑战武神殿	在武神殿挑战1次其他玩家
RankBattle_2	1	5	Gold|20				前一千达成	武神殿排名进入前1000名
RankBattle_3	1	10	Gold|30				前一百达成	武神殿排名进入前100名
RankBattle_4	1	20	Gold|50;item|9626|1		1		前十达成！	武神殿排名进入前10名
RankBattle_5	1	40	Gold|100;item|9627|1		1	1	第一达成！	武神殿排名达到第1名
InDifferBattle_1	1	3	Gold|10				初探心魔	成功参与心魔幻境/绝地活动
InDifferBattle_2	1	5	Gold|20				击败神秘人	在心魔幻境/绝地中击败过一个神秘人
InDifferBattle_3	1	10	Gold|30				活着	在心魔幻境/绝地中进入到最后阶段
InDifferBattle_4	1	20	Gold|50;item|9628|1		1		生存高手·一	在心魔幻境/绝地中获得一次优胜
InDifferBattle_4p	1	20	Gold|200				生存高手·二	在心魔幻境/绝地中单人匹配获得一次优胜
InDifferBattle_4	10	30	Gold|100;item|9629|1		1		生存大师·一	在心魔幻境/绝地中获得优胜累计达到10次
InDifferBattle_4	50	50	Gold|300;item|9630|1				生存大师·二	在心魔幻境/绝地中获得优胜累计达到50次
InDifferBattle_Tank	1	20	Gold|100				幻影坦克	在心魔幻境/绝地中未杀一人进入到最后阶段
InDifferBattle_Boxes	1	10	Gold|20				霸占幻象	在心魔幻境中小队打开幻象并打开所有宝箱
InDifferBattle_BearKiller	1	15	Gold|20				熊王杀手	在心魔幻境中猎杀一头撼天熊皇
InDifferBattle_Wusheng	1	15	Gold|50				我神装了	在心魔幻境中头衔升至武圣
Challenge_1	1	3	Gold|10				不服单挑	第一次登上擂台
Challenge_Win	5	5	Gold|10				单挑能手	在比武场累计胜利5场
Challenge_Win	10	10	Gold|20				单挑高手	在比武场累计胜利10场
Challenge_Win	50	20	Gold|50;item|9631|1		1		单挑王者	在比武场累计胜利50场
Challenge_Win	100	50	Gold|100;item|9632|1		1		战无不胜	在比武场累计胜利100场
KeyQuest_1	1	3	Gold|10				初入桃林	第一次进入遗迹寻宝
KeyQuest_KeyRobber	1	5	Gold|10				杀人夺符	在遗迹寻宝中杀掉神秘人并夺取他的传送符
KeyQuest_Floor3	1	10	Gold|30				三层探秘	在遗迹寻宝中首次进入第三层
KeyQuest_Unfortunate	1	10	Gold|20				惨绝人寰	遗迹寻宝中距离进入下层1分钟时丢掉传送符
KeyQuest_BigBox	1	20	Gold|200;item|9633|1		1		大宝箱！	遗迹寻宝中第三层成功打开巨大宝箱
KeyQuest_SwordRobber	1	5	Gold|20		1		杀人越货	在遗迹寻宝中杀掉神秘人并夺取他的创世之剑
HeroChallenge_1	1	3	Gold|10				挑战开始	成功通过1轮英雄挑战
HeroChallenge_2	1	5	Gold|20				勇往直前	成功通过6轮英雄挑战
HeroChallenge_3	1	10	Gold|30				全胜通关	成功通过10轮英雄挑战
HeroChallenge_3	10	20	Gold|50;item|9634|1				攻无不克	成功通过10轮英雄挑战10次
HeroChallenge_3	100	50	Gold|100;item|9635|1		1		百战成魔	成功通过10轮英雄挑战100次
Cangbaotu_1	1	3	Gold|15				挖宝开始了	成功挖宝1次
Cangbaotu_2	1	5	Gold|15				里面是什麽？	挖到古旧的箱子
Cangbaotu_3	1	5	Gold|40				哇！宝贝	挖到蓝色品质以上的物品
Cangbaotu_1	200	10	Gold|50;item|9636|1				寻宝者	成功挖宝200次
Cangbaotu_1	1000	20	Gold|70;item|9637|1		1		夺宝奇兵	成功挖宝1000次
Dungeon_1	1	5	Gold|15				哇！地宫	挖宝掉入地宫
Dungeon_2	1	5	Gold|15				帮手来了	在地宫中成功邀请其他玩家进入
Dungeon_3	1	5	Gold|15				多谢邀请	被其他玩家邀请进入地宫
Dungeon_4	1	5	Gold|15				二层密室！	在地宫中发现第二层密室
Dungeon_1	50	20	Gold|70;item|9638|1		1		上苍眷顾	挖宝掉入地宫50次
HighCangbaotu_1	1	10	Gold|40				高级藏宝图	成功挖1次高级藏宝图
HighCangbaotu_2	1	10	Gold|40				被围攻了	挖高级藏宝图时出现夺宝贼
HighCangbaotu_3thieves	1	15	Gold|50				贼贼贼	挖高级藏宝图时连续出现3次夺宝贼
HighCangbaotu_5thieves	1	20	Gold|100				贼贼贼贼贼	挖高级藏宝图时连续出现5次夺宝贼
HighCangbaotu_3	1	20	Gold|40				秘笈到手	挖高级藏宝图挖到武林秘笈
HighCangbaotu_4	1	20	Gold|40				本命神兵	挖高级藏宝图挖到同伴本命神兵
HighCangbaotu_5	1	20	Gold|40				哇！首领	挖高级藏宝图时出现野外首领
PunishTask_1	1	3	Gold|5				江湖惩恶	完成1次惩恶任务
PunishTask_1	20	5	Gold|10				严惩恶徒	完成20次惩恶任务
PunishTask_1	100	10	Gold|20				行侠仗义	完成100次惩恶任务
PunishTask_1	300	20	Gold|30				除恶务尽	完成300次惩恶任务
PunishTask_1	1000	50	Gold|50;item|9639|1		1		侠名满江湖	完成1000次惩恶任务
PunishTask_Orange	1	10	Gold|20				江洋大盗·一	惩恶中作为队长击杀1名橙色头目
PunishTask_Orange	10	20	Gold|50				江洋大盗·二	惩恶中作为队长击杀10名橙色头目
PunishTask_Orange	50	50	Gold|100				江洋大盗·三	惩恶中作为队长击杀50名橙色头目
KinSecret_Win1	1	10	Gold|10				通关秘境·一	参与帮派秘境并通关1个房间的秘境
KinSecret_Win2	1	20	Gold|30				通关秘境·二	参与帮派秘境并通关2个房间的秘境
KinSecret_Win3	1	50	Gold|50				通关秘境·三	参与帮派秘境并通关3个房间的秘境
KinSecret_BigBox	1	10	Gold|20				手速够快	帮派秘境中打开闯关后的巨大宝箱
KinSecret_Order	1	50	Gold|50				令行禁止	通关一个房间且该房间3个关卡的boss均未吸魂完毕
KinSecret_Bad	1	10	Gold|20				糟了	帮派秘境中独孤剑被张琳心复活
KinFuben_1	1	3	Gold|10				试炼开始	参与1次帮派试炼
KinFuben_1	2	5	Gold|20				再次试炼	参与2次帮派试炼
KinFuben_1	4	5	Gold|30				帮派练兵	参与4次帮派试炼
KinFuben_1	10	10	Gold|50				勤加演练	参与10次帮派试炼
KinFuben_1	20	20	Gold|100;item|9640|1		1		百炼成钢	参与20次帮派试炼
RandomFuben_1	1	3	Gold|30				初入凌绝峰	通关淩绝峰1层
RandomFuben_2	1	3	Gold|30				机关重重	通关淩绝峰2层
RandomFuben_3	1	3	Gold|30				山腹中的秘密	通关淩绝峰3层
RandomFuben_4	1	3	Gold|30				登凌绝顶	通关淩绝峰4层
RandomFuben_5	1	3	Gold|30;item|9641|1		1		绝处逢生	通关淩绝峰5层
RandomFuben_NoDeath	1	20	Gold|50				一命通关	队员均不曾死亡就通关淩绝峰
RandomFuben_Fast	1	20	Gold|100				风驰电掣	耗时2分40秒内通关淩绝峰
RandomFubenCard_1	1	3	Gold|60				淩绝峰的秘密	收集了一张淩绝峰卡片
RandomFubenCard_2	1	5	Gold|60				淩绝峰秘藏	领取过淩绝峰卡片收集奖励
RandomFubenCard_3	1	5	Gold|60				江湖百晓生	淩绝峰卡片收集排名中获得前100名
RandomFubenCard_4	1	10	Gold|60				凌绝笑红尘	淩绝峰卡片收集排名中获得前30名
RandomFubenCard_5	1	20	Gold|60;item|9642|1		1		九天逍遥游	淩绝峰卡片收集排名中获得第1名
AdventureFuben_Anger1	1	3	Gold|10				怒气拉满	山贼秘窟中开启机关1次
AdventureFuben_Anger0	1	3	Gold|30				一路平推	山贼秘窟中队伍不开启机关成功闯关
XiuLian_1	1	3	Gold|10				修炼开始了	开启1次修炼状态
XiuLian_1	20	5	Gold|20				继续修炼	开启20次修炼状态
XiuLian_1	60	10	Gold|30				勤学苦练	开启60次修炼状态
XiuLian_1	200	20	Gold|50;item|9643|1		1		练级狂魔	开启200次修炼状态
XiuLian_2	1	3	Gold|10				一堆火	点燃一堆篝火
TeamFuben_1	1	3	Gold|5				组队秘境	通关一次组队秘境
TeamFuben_2	1	10	Gold|20;item|9644|1				风云乍起	藏剑山庄秘境「卓越」评价达成
TeamFuben_3	1	10	Gold|20;item|9645|1				武夷惊魂	武夷禁地秘境「卓越」评价达成
TeamFuben_4	1	10	Gold|20;item|9646|1				熔火之心	熔火霹雳秘境「卓越」评价达成
TeamFuben_5	1	10	Gold|20;item|9647|1				翠竹鬼森	翠竹幽谷秘境「卓越」评价达成
TeamFuben_6	1	10	Gold|20;item|9648|1				呼啸烈风	呼啸栈道秘境「卓越」评价达成
TeamFuben_7	1	10	Gold|20;item|9649|1				雪峰紫日	雪峰硝烟秘境「卓越」评价达成
ImperialTomb_Heshibi	1	5	Gold|10				始皇之赐·一	在秦始皇陵获得1个和氏璧
ImperialTomb_Heshibi	10	10	Gold|20				始皇之赐·二	在秦始皇陵获得10个和氏璧
ImperialTomb_Heshibi	50	20	Gold|50				始皇之赐·三	在秦始皇陵获得50个和氏璧
ImperialTomb_Heshibi	100	50	Gold|200;item|9650|1		1		始皇之赐·四	在秦始皇陵获得100个和氏璧
ImperialTomb_Hole_1	1	5	Gold|10				灵光一现	在秦始皇陵中进入密室1次
ImperialTomb_Hole_2	1	10	Gold|30				好运连连·一	在秦始皇陵中一天之内进入密室3次
ImperialTomb_Hole_3	1	15	Gold|50				好运连连·二	在秦始皇陵中一天之内进入密室5次
ImperialTomb_Hole_4	1	20	Gold|100				好运连连·三	在秦始皇陵中一天之内进入密室10次
ImperialTomb_Hole_5	1	40	Gold|200;item|9651|1		1		好运连连·四	在秦始皇陵中一天之内进入密室20次
Chat_Private	1	3	Gold|5				窃窃私语	与任意玩家进行一次密聊
Chat_Emotion	1	3	Gold|5				言辞并茂	在任意频道发送表情
Chat_Voice	1	3	Gold|5				余音绕梁	成功在任意频道发送语音资讯
Chat_World	1	3	Gold|5				公开亮相	在世界频道发送公聊资讯
Chat_Kin	1	3	Gold|5				帮派发声	在帮派频道发送公聊资讯
