ParamId	DefaultRandomId	Desc0	TimeFrame1	RandomId1	Desc1	TimeFrame2	RandomId2	Desc2	TimeFrame3	RandomId3	Desc3	TimeFrame4	RandomId4	Desc4	TimeFrame5	RandomId5	Desc5	TimeFrame6	RandomId6	Desc6	TimeFrame7	RandomId7	Desc7	TimeFrame8	RandomId8	Desc8	TimeFrame9	RandomId9	Desc9	TimeFrame10	RandomId10	Desc10	Desc
11	2165		OpenLevel69	2669		OpenLevel79	2670		OpenLevel89	2671		OpenLevel99	2672		OpenLevel109	2673		OpenLevel119	2674		OpenLevel129	2675		OpenLevel139	2676								4级魂石箱（大号）
12	3231		OpenLevel69	3232		OpenLevel79	3233		OpenLevel89	3234		OpenLevel99	3235		OpenLevel109	3236		OpenLevel119	3237		OpenLevel129	3238		OpenLevel139	3239								4级魂石箱（小号）
13	3593		OpenLevel39	3593																													随机铭刻石
14	45210		OpenDay33	45211																													答对礼包
15	45220		OpenDay33	45221																													答错礼包
16	45230		OpenDay33	45231																													守护礼包1
17	45240		OpenDay33	45241																													守护礼包2
18	45250		OpenDay33	45251																													守护礼包3
19	45260		OpenDay33	45261																													守护礼包4
20	45270		OpenDay33	45271																													守护礼包5
21	45280		OpenDay33	45281																													守护礼包6
22	45290		OpenDay33	45291																													守护礼包7
23	4624		OpenLevel49	4624		OpenLevel59	4625		OpenLevel69	4626		OpenLevel79	4627		OpenLevel89	4628		OpenLevel99	4629		OpenLevel109	4630		OpenLevel119	4651								传承武器宝箱
24	4633		OpenLevel49	4633		OpenLevel59	4634		OpenLevel69	4635		OpenLevel79	4636		OpenLevel89	4637		OpenLevel99	4638		OpenLevel109	4639		OpenLevel119	4650								稀有武器宝箱
25	4641		OpenLevel49	4641		OpenLevel59	4642		OpenLevel69	4643		OpenLevel79	4644		OpenLevel89	4645		OpenLevel99	4646		OpenLevel109	4647		OpenLevel119	4649								传承首饰宝箱
26	4652		OpenLevel49	4652		OpenLevel59	4653		OpenLevel69	4654		OpenLevel79	4655		OpenLevel89	4656		OpenLevel99	4657		OpenLevel109	4658		OpenLevel119	4659								稀有首饰宝箱
27	4660		OpenLevel49	4660		OpenLevel59	4661		OpenLevel69	4662		OpenLevel79	4663		OpenLevel89	4664		OpenLevel99	4665		OpenLevel109	4666		OpenLevel119	4667								传承防具宝箱
28	4668		OpenLevel49	4668		OpenLevel59	4669		OpenLevel69	4670		OpenLevel79	4671		OpenLevel89	4672		OpenLevel99	4673		OpenLevel109	4674		OpenLevel119	4675								稀有防具宝箱
29	4676		OpenDay69	4680																													家俱材料宝箱
30	4679		OpenDay69	4681		OpenDay114	4682																										高级家俱材料宝箱
31	4801		OpenDay3C	4802		OpenDay6	4803		OpenDay7	4804		OpenDay35	4805		OpenDay52	4806		OpenDay116	4807		OpenDay128	4808		OpenLevel109	4809		OpenDay251	4810					同伴招募宝箱
32	12420	使用后必然获得[FFFE0D]白水晶*6、黄金宝箱*1、20元宝、2000银两[-]。同时有机率获得额外赠送的[FFFE0D]盟主令、3阶稀有装备、随机2级魂石或随机1级魂石[-]。	OpenLevel59	12421	使用后必然获得[FFFE0D]白水晶*6、黄金宝箱*1、20元宝、2000银两[-]。同时有机率获得额外赠送的[FFFE0D]名将令、4阶稀有装备、随机3级魂石或随机2级魂石[-]。	OpenLevel69	12422	使用后必然获得[FFFE0D]白水晶*6、黄金宝箱*1、20元宝、2000银两[-]。同时有机率获得额外赠送的[FFFE0D]名将令、5阶稀有装备、随机3级魂石或随机2级魂石[-]。	OpenLevel79	12423	使用后必然获得[FFFE0D]白水晶*6、黄金宝箱*1、20元宝、2000银两[-]。同时有机率获得额外赠送的[FFFE0D]逐鹿令、6阶稀有装备、随机3级魂石或随机2级魂石[-]。	OpenLevel89	12424	使用后必然获得[FFFE0D]白水晶*6、黄金宝箱*1、20元宝、2000银两[-]。同时有机率获得额外赠送的[FFFE0D]逐鹿令、7阶稀有装备、随机4级魂石、随机3级魂石或随机2级魂石[-]。	OpenLevel99	12425	使用后必然获得[FFFE0D]白水晶*6、黄金宝箱*1、20元宝、2000银两[-]。同时有机率获得额外赠送的[FFFE0D]逐鹿令、8阶稀有装备、随机4级魂石、随机3级魂石或随机2级魂石[-]。	OpenLevel109	12426	使用后必然获得[FFFE0D]绿水晶*2、黄金宝箱*1、30元宝、2000银两[-]。同时有概率获得额外赠送的[FFFE0D]帝皇令、9阶稀有装备、随机4级魂石、随机3级魂石或随机2级魂石[-]。	OpenLevel119	12427	使用后必然获得[FFFE0D]绿水晶*2、黄金宝箱*1、30元宝、2000银两[-]。同时有概率获得额外赠送的[FFFE0D]帝皇令、10阶稀有装备、随机4级魂石、随机3级魂石或随机2级魂石[-]。	OpenLevel129	12428	使用后必然获得[FFFE0D]蓝水晶*1、30元宝、2000银两和古旧阵法残卷*1[-]。同时有概率获得额外赠送的[FFFE0D]和氏璧、随机4级魂石或赤金驭天坐骑装备碎片[-]。	OpenLevel139	12429	使用后必然获得[FFFE0D]蓝水晶*1、30元宝、2000银两和古旧阵法残卷*1[-]。同时有概率获得额外赠送的[FFFE0D]和氏璧、随机4级魂石或赤金驭天坐骑装备碎片[-]。	OpenLevel149	124210	使用后必然获得[FFFE0D]蓝水晶*1、30元宝、2000银两和古旧阵法残卷*1[-]。同时有概率获得额外赠送的[FFFE0D]和氏璧、随机4级魂石或赤金驭天坐骑装备碎片[-]。	1元超值礼包（版本）
33	60900		OpenLevel59	60901		OpenLevel69	60902		OpenLevel79	60903		OpenLevel89	60904		OpenLevel99	60905																	蓝色魂石随机宝箱
34	60920		OpenDay7	60921		OpenDay35	60922		OpenDay116	60923		OpenDay251	60924																				S级同伴招募令
35	62610	首次成功挑战师徒试炼后获得的宝箱，使用后获得：[FFFE0D]贡献*2000[-]。	OpenLevel69	62611	首次成功挑战师徒试炼后获得的宝箱，使用后随机获得其中一个：[FFFE0D]贡献*2000、元气*2000[-]。	OpenLevel79	62612	首次成功挑战师徒试炼后获得的宝箱，使用后随机获得其中一个：[FFFE0D]贡献*2000、元气*2000、真气*2000[-]。																									师徒试炼首次宝箱
36	62620	成功挑战师徒试炼后获得的宝箱，使用后获得：[FFFE0D]贡献*1000[-]。	OpenLevel69	62621	成功挑战师徒试炼后获得的宝箱，使用后随机获得其中一个：[FFFE0D]贡献*1000、元气*1000[-]。	OpenLevel79	62622	成功挑战师徒试炼后获得的宝箱，使用后随机获得其中一个：[FFFE0D]贡献*1000、元气*1000、真气*1000[-]。																									师徒试炼宝箱
37	65320		OpenLevel69	65321		OpenLevel79	65322																										分卷合成宝箱
38	67750	在江湖盛典活动期间，活跃达到20所获得的奖励宝箱，使用后获得：[FFFE0D]100贡献[-]	OpenLevel89	67751	在江湖盛典活动期间，活跃达到20所获得的奖励宝箱，使用后获得：[FFFE0D]100真气[-]																												江湖盛典20活跃宝箱
39	67760	在江湖盛典活动期间，活跃达到40所获得的奖励宝箱，使用后获得：[FFFE0D]200贡献[-]	OpenLevel89	67761	在江湖盛典活动期间，活跃达到40所获得的奖励宝箱，使用后获得：[FFFE0D]200真气[-]																												江湖盛典40活跃宝箱
40	67770	在江湖盛典活动期间，活跃达到60所获得的奖励宝箱，使用后获得：[FFFE0D]300贡献[-]	OpenLevel89	67771	在江湖盛典活动期间，活跃达到60所获得的奖励宝箱，使用后获得：[FFFE0D]300真气[-]																												江湖盛典60活跃宝箱
41	67780	在江湖盛典活动期间，活跃达到80所获得的奖励宝箱，使用后获得：[FFFE0D]400贡献[-]	OpenLevel89	67781	在江湖盛典活动期间，活跃达到80所获得的奖励宝箱，使用后获得：[FFFE0D]400真气[-]																												江湖盛典80活跃宝箱
42	67790	在江湖盛典活动期间，活跃达到100所获得的奖励宝箱，使用后获得：[FFFE0D]500贡献[-]	OpenLevel89	67791	在江湖盛典活动期间，活跃达到100所获得的奖励宝箱，使用后获得：[FFFE0D]500真气[-]																												江湖盛典100活跃宝箱
43	66940	使用获得：\n[FFFE0D]称号·盛典豪侠\n20000贡献\n意中人宝箱[-]	OpenLevel89	66941	使用获得：\n[FFFE0D]称号·盛典豪侠\n20000真气\n意中人宝箱[-]																												江湖盛典欢庆礼盒
44	72810	[FFFE0D]阵法试炼[-]中获得的沾满尘土的阵法书残卷，使用[FFFE0D]修裱材料[-]修复后可获得更高品质的阵法书，阵法书的品质越高，研读后可能获得的诀要品质越高\n\n使用后随机获得[FFFE0D]诀要、阵法修炼残卷、修裱材料、贡献或银两[-]\n最高只能获得[11adf6]普通品质的诀要[-]	OpenLevel89	72810	[FFFE0D]阵法试炼[-]中获得的沾满尘土的阵法书残卷，使用[FFFE0D]修裱材料[-]修复后可获得更高品质的阵法书，阵法书的品质越高，研读后可能获得的诀要品质越高\n\n使用后随机获得[FFFE0D]诀要、阵法修炼残卷、修裱材料、贡献或银两[-]\n最高只能获得[11adf6]普通品质的诀要[-]																												古旧阵法修炼残卷
45	72820	乾净整洁，装裱精致的阵法书，使用后随机获得[FFFE0D]诀要、阵法修炼精要、修裱材料[-]\n最高可能获得[aa62fc]传承品质的诀要[-]	OpenLevel89	72820	乾净整洁，装裱精致的阵法书，使用后随机获得[FFFE0D]诀要、阵法修炼精要、修裱材料[-]\n最高可能获得[aa62fc]传承品质的诀要[-]	OpenLevel109	73820	乾净整洁，装裱精致的阵法书，使用后随机获得[FFFE0D]诀要、阵法修炼精要、修裱材料[-]\n最高可能获得[aa62fc]传承品质的诀要[-]																									精致阵法古籍
46	72830	凤毛麟角，传世千古的阵法书，使用后随机获得[FFFE0D]诀要或阵法修炼精要[-]\n最高可能获得[ff8f06]稀有品质的诀要[-]	OpenLevel89	72830	凤毛麟角，传世千古的阵法书，使用后随机获得[FFFE0D]诀要或阵法修炼精要[-]\n最高可能获得[ff8f06]稀有品质的诀要[-]	OpenLevel109	73830	凤毛麟角，传世千古的阵法书，使用后随机获得[FFFE0D]诀要或阵法修炼精要[-]\n最高可能获得[ff8f06]稀有品质的诀要[-]																									传世阵法古籍
47	3527	偶遇圣诞老人时获得的袜子，精美好看，好像装着丰厚的礼物。	OpenLevel69	3527	偶遇圣诞老人时获得的袜子，精美好看，好像装着丰厚的礼物。	OpenLevel79	3528	偶遇圣诞老人时获得的袜子，精美好看，好像装着丰厚的礼物。	OpenLevel99	3529	偶遇圣诞老人时获得的袜子，精美好看，好像装着丰厚的礼物。																						圣诞袜子
48	3533	帮派雪人升级后，帮派管理员给堆雪人的帮派成员发送的礼盒。包装得很精美，看上去价值不菲。	OpenLevel59	3533	帮派雪人升级后，帮派管理员给堆雪人的帮派成员发送的礼盒。包装得很精美，看上去价值不菲。	OpenLevel69	3535	帮派雪人升级后，帮派管理员给堆雪人的帮派成员发送的礼盒。包装得很精美，看上去价值不菲。																									雪人礼盒
49	74021	前线将士收到大侠赠送的腊八粥，以此回礼。打开可获得大量奖励	OpenLevel69	74021	前线将士收到大侠赠送的腊八粥，以此回礼。打开可获得大量奖励	OpenLevel79	74022	前线将士收到大侠赠送的腊八粥，以此回礼。打开可获得大量奖励	OpenLevel99	74023	前线将士收到大侠赠送的腊八粥，以此回礼。打开可获得大量奖励																						联军的回赠
50	74031	腊八节活动中贡献突出，为前线将士送去5份腊八粥时获得此奖励	OpenLevel69	74031	腊八节活动中贡献突出，为前线将士送去5份腊八粥时获得此奖励	OpenLevel79	74032	腊八节活动中贡献突出，为前线将士送去5份腊八粥时获得此奖励																									朝廷的褒奖
51	74041	腊八节活动中贡献巨大，为前线将士送去10份腊八粥时获得此奖励	OpenLevel69	74041	腊八节活动中贡献巨大，为前线将士送去10份腊八粥时获得此奖励	OpenLevel79	74042	腊八节活动中贡献巨大，为前线将士送去10份腊八粥时获得此奖励																									朝廷的褒奖
52	7438	[FFFE0D]1、80元宝\n2、白水晶*12[-]	OpenLevel59	7438	[FFFE0D]1、80元宝\n2、白水晶*16[-]	OpenLevel69	7438	[FFFE0D]1、80元宝\n2、绿水晶*8[-]	OpenLevel79	7438	[FFFE0D]1、80元宝\n2、绿水晶*10[-]	OpenLevel89	7438	[FFFE0D]1、100元宝\n2、绿水晶*10[-]	OpenLevel99	7438	[FFFE0D]1、100元宝\n2、绿水晶*10[-]	OpenLevel109	7438	[FFFE0D]1、100元宝\n2、绿水晶*10[-]	OpenLevel119	7438	[FFFE0D]1、100元宝\n2、绿水晶*10[-]	OpenLevel129	7438	[FFFE0D]1、100元宝\n2、绿水晶*10[-]	OpenLevel139	7438	[FFFE0D]1、100元宝\n2、绿水晶*10[-]	OpenLevel149	7438	[FFFE0D]1、100元宝\n2、蓝水晶*3[-]	1元超值礼包展示（新马）
