ChangeId	Desc	Part	CharmExtern	ColorItem1	ConsumeItem1	ConsumeCount1	ColorItem2	ConsumeItem2	ConsumeCount2	ColorItem3	ConsumeItem3	ConsumeCount3	ColorItem4	ConsumeItem4	ConsumeCount4	ColorItem5	ConsumeItem5	ConsumeCount5	ColorItem6	ConsumeItem6	ConsumeCount6	ColorItem7	ConsumeItem7	ConsumeCount7	ColorItem8	ConsumeItem8	ConsumeCount8	NameFacionMale1	NameFacionFemale2	NameFacionFemale3	NameFacionMale4	NameFacionMale5	NameFacionFemale5	NameFacionFemale6	NameFacionMale7	NameFacionFemale8	NameFacionMale9	NameFacionMale10	NameFacionFemale10	NameFacionMale11	NameFacionFemale12	NameFacionMale13	NameFacionFemale14	NameFacionMale15	NameFacionFemale15	NameFacionMale16	NameFacionFemale16	NameFacionMale17	NameFacionFemale17
104	外装T3（新年大衣）·限时	0	2	4484	2569	1																						外装：<八方云动>	外装：<傲寒诉雪>	外装：<墨芷幽兰>	外装：<白玉琅环>	外装：<白玉琅环>	外装：<傲寒诉雪>	外装：<傲寒诉雪>	外装：<八方云动>	外装：<傲寒诉雪>	外装：<白玉琅环>	外装：<八方云动>	外装：<傲寒诉雪>	外装：<八方云动>	外装：<墨芷幽兰>	外装：<白玉琅环>	外装：<傲寒诉雪>	外装：<白玉琅环>	外装：<傲寒诉雪>	外装：<八方云动>	外装：<墨芷幽兰>	外装：<白玉琅环>	外装：<傲寒诉雪>
105	外装T4（八家将）·限时	0	7	4487	2569	1																						外装：<玄甲铁骑>	外装：<雨落尘殇>	外装：<伽蓝听雨>	外装：<墨语无尘>	外装：<墨语无尘>	外装：<雨落尘殇>	外装：<雨落尘殇>	外装：<玄甲铁骑>	外装：<雨落尘殇>	外装：<墨语无尘>	外装：<玄甲铁骑>	外装：<雨落尘殇>	外装：<玄甲铁骑>	外装：<伽蓝听雨>	外装：<墨语无尘>	外装：<雨落尘殇>	外装：<墨语无尘>	外装：<雨落尘殇>	外装：<玄甲铁骑>	外装：<伽蓝听雨>	外装：<墨语无尘>	外装：<雨落尘殇>
106	外装T5（黑帮）·限时	0	7	4490	2569	1																						外装：<狂客>	外装：<狷者>	外装：<魅灵>	外装：<邪侠>	外装：<邪侠>	外装：<狷者>	外装：<狷者>	外装：<狂客>	外装：<狷者>	外装：<邪侠>	外装：<狂客>	外装：<狷者>	外装：<狂客>	外装：<魅灵>	外装：<邪侠>	外装：<狷者>	外装：<邪侠>	外装：<狷者>	外装：<狂客>	外装：<魅灵>	外装：<邪侠>	外装：<狷者>
1001	T6外装（自然）·佳期	0	57	4243	2569	1																						外装：<佳期·鸿影>	外装：<佳期·花恋>	外装：<佳期·琼华>	外装：<佳期·墨语>	外装：<佳期·墨语>	外装：<佳期·花恋>	外装：<佳期·花恋>	外装：<佳期·鸿影>	外装：<佳期·花恋>	外装：<佳期·墨语>	外装：<佳期·鸿影>	外装：<佳期·花恋>	外装：<佳期·鸿影>	外装：<佳期·琼华>	外装：<佳期·墨语>	外装：<佳期·花恋>	外装：<佳期·墨语>	外装：<佳期·花恋>	外装：<佳期·鸿影>	外装：<佳期·琼华>	外装：<佳期·墨语>	外装：<佳期·花恋>
1051	T6外装（自然）	0	47	3874	2569	1	3875	2569	10	3876	2569	10	3877	2569	10													外装：<青竹觅影>系列	外装：<落花映雪>系列	外装：<落花映雪>系列	外装：<青竹觅影>系列	外装：<青竹觅影>系列	外装：<落花映雪>系列	外装：<落花映雪>系列	外装：<青竹觅影>系列	外装：<落花映雪>系列	外装：<青竹觅影>系列	外装：<青竹觅影>系列	外装：<落花映雪>系列	外装：<青竹觅影>系列	外装：<落花映雪>系列	外装：<青竹觅影>系列	外装：<落花映雪>系列	外装：<青竹觅影>系列	外装：<落花映雪>系列	外装：<青竹觅影>系列	外装：<落花映雪>系列	外装：<青竹觅影>系列	外装：<落花映雪>系列
1071	T6外装（自然）·限时	0	37	4772	2569	1																						外装：<青竹觅影>	外装：<落花映雪>	外装：<落花映雪>	外装：<青竹觅影>	外装：<青竹觅影>	外装：<落花映雪>	外装：<落花映雪>	外装：<青竹觅影>	外装：<落花映雪>	外装：<青竹觅影>	外装：<青竹觅影>	外装：<落花映雪>	外装：<青竹觅影>	外装：<落花映雪>	外装：<青竹觅影>	外装：<落花映雪>	外装：<青竹觅影>	外装：<落花映雪>	外装：<青竹觅影>	外装：<落花映雪>	外装：<青竹觅影>	外装：<落花映雪>
1091	T7外装（浮光）	0	57	3878	2569	1	3879	2569	10	3880	2569	10	3881	2569	10	6831	2569	10										外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列
1301	T7外装（浮光）·限时	0	27	6741	2569	1																						外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列	外装：<浮光·梦羽>系列	外装：<浮光·梦蝶>系列
1302	T9外装（丝路流纱）·限时	0	27	7123	2569	1																						外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>	外装：<丝路流纱>
1303	T11外装（新年装）·限时	0	27	8284	2569	1																						外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>	外装：<金玉满堂>
1304	T12外装（夏莲）·限时	0	27	8285	2569	1																						外装：<风动·苍澜>	外装：<萤舞·花间>	外装：<萤舞·花间>	外装：<风动·苍澜>	外装：<风动·苍澜>	外装：<萤舞·花间>	外装：<萤舞·花间>	外装：<风动·苍澜>	外装：<萤舞·花间>	外装：<风动·苍澜>	外装：<风动·苍澜>	外装：<萤舞·花间>	外装：<风动·苍澜>	外装：<萤舞·花间>	外装：<风动·苍澜>	外装：<萤舞·花间>	外装：<风动·苍澜>	外装：<萤舞·花间>	外装：<风动·苍澜>	外装：<萤舞·花间>	外装：<风动·苍澜>	外装：<萤舞·花间>
1305	T12A外装（夏莲）·限时	0	27	8286	2569	1																						外装：<苍澜>	外装：<花间>	外装：<花间>	外装：<苍澜>	外装：<苍澜>	外装：<花间>	外装：<花间>	外装：<苍澜>	外装：<花间>	外装：<苍澜>	外装：<苍澜>	外装：<花间>	外装：<苍澜>	外装：<花间>	外装：<苍澜>	外装：<花间>	外装：<苍澜>	外装：<花间>	外装：<苍澜>	外装：<花间>	外装：<苍澜>	外装：<花间>
1111	韩服	0	57	3882	2569	1	3883	2569	10	3884	2569	10	3885	2569	10													外装：<韩服>系列	外装：<韩服>系列	外装：<韩服>系列	外装：<韩服>系列	外装：<韩服>系列	外装：<韩服>系列	外装：<韩服>系列	外装：<韩服>系列	外装：<韩服>系列	外装：<韩服>系列	外装：<韩服>系列	外装：<韩服>系列	外装：<韩服>系列	外装：<韩服>系列	外装：<韩服>系列	外装：<韩服>系列	外装：<韩服>系列	外装：<韩服>系列	外装：<韩服>系列	外装：<韩服>系列	外装：<韩服>系列	外装：<韩服>系列
1112	越南外装	0	57	9699	2569	1																						外装：<越南外装>系列	外装：<越南外装>系列	外装：<越南外装>系列	外装：<越南外装>系列	外装：<越南外装>系列	外装：<越南外装>系列	外装：<越南外装>系列	外装：<越南外装>系列	外装：<越南外装>系列	外装：<越南外装>系列	外装：<越南外装>系列	外装：<越南外装>系列	外装：<越南外装>系列	外装：<越南外装>系列	外装：<越南外装>系列	外装：<越南外装>系列	外装：<越南外装>系列	外装：<越南外装>系列	外装：<越南外装>系列	外装：<越南外装>系列	外装：<越南外装>系列	外装：<越南外装>系列
1131	韩服·限时	0	9	6146	2569	1																						外装：<韩服>系列（限时3天）	外装：<韩服>系列（限时3天）	外装：<韩服>系列（限时3天）	外装：<韩服>系列（限时3天）	外装：<韩服>系列（限时3天）	外装：<韩服>系列（限时3天）	外装：<韩服>系列（限时3天）	外装：<韩服>系列（限时3天）	外装：<韩服>系列（限时3天）	外装：<韩服>系列（限时3天）	外装：<韩服>系列（限时3天）	外装：<韩服>系列（限时3天）	外装：<韩服>系列（限时3天）	外装：<韩服>系列（限时3天）	外装：<韩服>系列（限时3天）	外装：<韩服>系列（限时3天）	外装：<韩服>系列（限时3天）	外装：<韩服>系列（限时3天）	外装：<韩服>系列（限时3天）	外装：<韩服>系列（限时3天）	外装：<韩服>系列（限时3天）	外装：<韩服>系列（限时3天）
1151	T5外装（黑帮）	0	57	6288	2569	1	6289	2569	10	6290	2569	10	6291	2569	10	6539	2569	10										外装：<狂客>系列	外装：<狷者>系列	外装：<魅灵>系列	外装：<邪侠>系列	外装：<邪侠>系列	外装：<狷者>系列	外装：<狷者>系列	外装：<狂客>系列	外装：<狷者>系列	外装：<邪侠>系列	外装：<狂客>系列	外装：<狷者>系列	外装：<狂客>系列	外装：<魅灵>系列	外装：<邪侠>系列	外装：<狷者>系列	外装：<邪侠>系列	外装：<狷者>系列	外装：<狂客>系列	外装：<魅灵>系列	外装：<邪侠>系列	外装：<狷者>系列
1181	T9外装（丝路流纱）	0	57	3886	2569	1	3887	2569	10	3888	2569	10	3889	2569	10	6832	2569	10	6833	2569	10							外装：<丝路流纱>系列	外装：<丝路流纱>系列	外装：<丝路流纱>系列	外装：<丝路流纱>系列	外装：<丝路流纱>系列	外装：<丝路流纱>系列	外装：<丝路流纱>系列	外装：<丝路流纱>系列	外装：<丝路流纱>系列	外装：<丝路流纱>系列	外装：<丝路流纱>系列	外装：<丝路流纱>系列	外装：<丝路流纱>系列	外装：<丝路流纱>系列	外装：<丝路流纱>系列	外装：<丝路流纱>系列	外装：<丝路流纱>系列	外装：<丝路流纱>系列	外装：<丝路流纱>系列	外装：<丝路流纱>系列	外装：<丝路流纱>系列	外装：<丝路流纱>系列
1191	T11外装（新年装）	0	57	7312	2569	1																						外装：<金玉满堂>系列	外装：<金玉满堂>系列	外装：<金玉满堂>系列	外装：<金玉满堂>系列	外装：<金玉满堂>系列	外装：<金玉满堂>系列	外装：<金玉满堂>系列	外装：<金玉满堂>系列	外装：<金玉满堂>系列	外装：<金玉满堂>系列	外装：<金玉满堂>系列	外装：<金玉满堂>系列	外装：<金玉满堂>系列	外装：<金玉满堂>系列	外装：<金玉满堂>系列	外装：<金玉满堂>系列	外装：<金玉满堂>系列	外装：<金玉满堂>系列	外装：<金玉满堂>系列	外装：<金玉满堂>系列	外装：<金玉满堂>系列	外装：<金玉满堂>系列
1192	T12外装（夏莲）	0	117	7542	2569	1	7543	2569	10	7544	2569	10	7545	2569	10	7546	2569	10	7547	2569	10	7708	2569	10	7709	2569	10	外装：<风动·苍澜>系列	外装：<萤舞·花间>系列	外装：<萤舞·花间>系列	外装：<风动·苍澜>系列	外装：<风动·苍澜>系列	外装：<萤舞·花间>系列	外装：<萤舞·花间>系列	外装：<风动·苍澜>系列	外装：<萤舞·花间>系列	外装：<风动·苍澜>系列	外装：<风动·苍澜>系列	外装：<萤舞·花间>系列	外装：<风动·苍澜>系列	外装：<萤舞·花间>系列	外装：<风动·苍澜>系列	外装：<萤舞·花间>系列	外装：<风动·苍澜>系列	外装：<萤舞·花间>系列	外装：<风动·苍澜>系列	外装：<萤舞·花间>系列	外装：<风动·苍澜>系列	外装：<萤舞·花间>系列
1193	T12A外装（夏莲）	0	57	7548	2569	1	7549	2569	10	7550	2569	10	7551	2569	10	7552	2569	10										外装：<苍澜>系列	外装：<花间>系列	外装：<花间>系列	外装：<苍澜>系列	外装：<苍澜>系列	外装：<花间>系列	外装：<花间>系列	外装：<苍澜>系列	外装：<花间>系列	外装：<苍澜>系列	外装：<苍澜>系列	外装：<花间>系列	外装：<苍澜>系列	外装：<花间>系列	外装：<苍澜>系列	外装：<花间>系列	外装：<苍澜>系列	外装：<花间>系列	外装：<苍澜>系列	外装：<花间>系列	外装：<苍澜>系列	外装：<花间>系列
1194	T13外装（夏威夷）	0	57	8384	2569	1	8385	2569	10	8386	2569	10	8387	2569	10													外装：<乘风破浪>系列	外装：<生如夏花>系列	外装：<生如夏花>系列	外装：<乘风破浪>系列	外装：<乘风破浪>系列	外装：<生如夏花>系列	外装：<生如夏花>系列	外装：<乘风破浪>系列	外装：<生如夏花>系列	外装：<乘风破浪>系列	外装：<乘风破浪>系列	外装：<生如夏花>系列	外装：<乘风破浪>系列	外装：<生如夏花>系列	外装：<乘风破浪>系列	外装：<生如夏花>系列	外装：<乘风破浪>系列	外装：<生如夏花>系列	外装：<乘风破浪>系列	外装：<生如夏花>系列	外装：<乘风破浪>系列	外装：<生如夏花>系列
1211	T1校服	0	5	6452	2569	1	6453	2569	2	6454	2569	2	6455	2569	2	6855	2569	2										门派装：<明光战甲>系列	门派装：<梦迷裳>系列	门派装：<绮丽裳>系列	门派装：<逸侠长衫>系列	门派装：<问道衫>系列	门派装：<问道衫>系列	门派装：<迷魂衣>系列	门派装：<明净衫>系列	门派装：<碧萝裳>系列	门派装：<锁月衫>系列	门派装：<雪清衣>系列	门派装：<雪清衣>系列	门派装：<醉清衫>系列	门派装：<紫澜裳>系列	门派装：<云栖衫>系列	门派装：<琴调裳>系列	门派装：<飞雪衣>系列	门派装：<飞雪衣>系列	门派装：<漠狼衣>系列	门派装：<漠狼衣>系列	门派装：<朝阳衣>系列	门派装：<朝阳衣>系列
1904	T1校服·1天	0	5	9539	2569	1																						门派装：<明光战甲>	门派装：<梦迷裳>	门派装：<绮丽裳>	门派装：<逸侠长衫>	门派装：<问道衫>	门派装：<问道衫>	门派装：<迷魂衣>	门派装：<明净衫>	门派装：<碧萝裳>	门派装：<锁月衫>	门派装：<雪清衣>	门派装：<雪清衣>	门派装：<醉清衫>	门派装：<紫澜裳>	门派装：<云栖衫>	门派装：<琴调裳>	门派装：<飞雪衣>	门派装：<飞雪衣>	门派装：<漠狼衣>	门派装：<漠狼衣>	门派装：<朝阳衣>	门派装：<朝阳衣>
1212	T2校服	0	5	6456	2569	1	6457	2569	2	6458	2569	2	6459	2569	2	6856	2569	2										门派装：<耀日战甲>系列	门派装：<绫罗裳>系列	门派装：<月华裳>系列	门派装：<踏月长衫>系列	门派装：<离尘衫>系列	门派装：<离尘衫>系列	门派装：<修罗衣>系列	门派装：<虚竹衫>系列	门派装：<青莲裳>系列	门派装：<银钩衫>系列	门派装：<灵狐衣>系列	门派装：<灵狐衣>系列	门派装：<铁手衫>系列	门派装：<冥火裳>系列	门派装：<定国衫>系列	门派装：<琼台裳>系列	门派装：<白狐衣>系列	门派装：<白狐衣>系列	门派装：<破釜衣>系列	门派装：<破釜衣>系列	门派装：<云台衣>系列	门派装：<云台衣>系列
1905	T2校服·1天	0	5	9540	2569	1																						门派装：<耀日战甲>	门派装：<绫罗裳>	门派装：<月华裳>	门派装：<踏月长衫>	门派装：<离尘衫>	门派装：<离尘衫>	门派装：<修罗衣>	门派装：<虚竹衫>	门派装：<青莲裳>	门派装：<银钩衫>	门派装：<灵狐衣>	门派装：<灵狐衣>	门派装：<铁手衫>	门派装：<冥火裳>	门派装：<定国衫>	门派装：<琼台裳>	门派装：<白狐衣>	门派装：<白狐衣>	门派装：<破釜衣>	门派装：<破釜衣>	门派装：<云台衣>	门派装：<云台衣>
1213	T3校服	0	5	6460	2569	1	6461	2569	2	6462	2569	2	6463	2569	2	6857	2569	2										门派装：<霸王战甲>系列	门派装：<天玄裳>系列	门派装：<云蝶裳>系列	门派装：<流云长衫>系列	门派装：<问意衫>系列	门派装：<问意衫>系列	门派装：<戮魔衣>系列	门派装：<罗汉衫>系列	门派装：<璎珞裳>系列	门派装：<天河衫>系列	门派装：<墨霜衣>系列	门派装：<墨霜衣>系列	门派装：<伏虎衫>系列	门派装：<凤尾裳>系列	门派装：<秦风衫>系列	门派装：<瑶花裳>系列	门派装：<翠云裘>系列	门派装：<翠云裘>系列	门派装：<冷啸衣>系列	门派装：<冷啸衣>系列	门派装：<千刃衣>系列	门派装：<千刃衣>系列
1906	T3校服·1天	0	5	9541	2569	1																						门派装：<霸王战甲>	门派装：<天玄裳>	门派装：<云蝶裳>	门派装：<流云长衫>	门派装：<问意衫>	门派装：<问意衫>	门派装：<戮魔衣>	门派装：<罗汉衫>	门派装：<璎珞裳>	门派装：<天河衫>	门派装：<墨霜衣>	门派装：<墨霜衣>	门派装：<伏虎衫>	门派装：<凤尾裳>	门派装：<秦风衫>	门派装：<瑶花裳>	门派装：<翠云裘>	门派装：<翠云裘>	门派装：<冷啸衣>	门派装：<冷啸衣>	门派装：<千刃衣>	门派装：<千刃衣>
1214	T4校服	0	5	7502	2569	1	7503	2569	2	7504	2569	2	7505	2569	2													门派装：<凤皇战甲>系列	门派装：<碧妆裳>系列	门派装：<采香裳>系列	门派装：<玄风长衫>系列	门派装：<归真衫>系列	门派装：<归真衫>系列	门派装：<灭魂衣>系列	门派装：<浮屠衫>系列	门派装：<浣花裳>系列	门派装：<银铠衫>系列	门派装：<紫玉衣>系列	门派装：<紫玉衣>系列	门派装：<入云衫>系列	门派装：<栩蝶裳>系列	门派装：<剑茗衫>系列	门派装：<离鸾裳>系列	门派装：<丝语裘>系列	门派装：<丝语裘>系列	门派装：<荒崖衣>系列	门派装：<荒崖衣>系列	门派装：<风扬衣>系列	门派装：<风扬衣>系列
2001	江湖侠少装·限时	0	0	3896	2569	1																						新手：<明光战甲>	新手：<梦迷裳>	新手：<绮丽裳>	新手：<逸侠长衫>	新手：<问道衫>	新手：<迷魂衣>	新手：<迷魂衣>	新手：<明净衫>	新手：<碧萝裳>	新手：<锁月衫>	新手：<雪清衣>	新手：<雪清衣>	新手：<醉清衫>	新手：<紫澜裳>	新手：<云栖衫>	新手：<琴调裳>	新手：<飞雪衣>	新手：<飞雪衣>	门派装：<漠狼衣>	门派装：<漠狼衣>	新手：<朝阳衣>	新手：<朝阳衣>
