nId	nHouse	nQuality	szQualityName	szName	nItem1Id	nItem2Id	nItem3Id	nRate1	nRate2	nRate3	szMoneyType	nPrice
28	7	15	15阶	T15衣服(未鉴定）	5525	5725	5625	75	20	5	SilverBoard	70000
29	8	2	2阶	T2项链(未鉴定）	1033	1621	1133	75	20	5	Contrib	400
30	8	2	2阶	T2戒指(未鉴定）	1043	1629	1143	75	20	5	Contrib	400
31	8	2	2阶	T2玉佩(未鉴定）	1053	1637	1153	75	20	5	Contrib	400
32	8	2	2阶	T2护身符(未鉴定）	1063	1645	1163	75	20	5	Contrib	400
33	8	3	3阶	T3项链(未鉴定）	1034	1622	1134	75	20	5	Contrib	800
34	8	3	3阶	T3戒指(未鉴定）	1044	1630	1144	75	20	5	Contrib	800
35	8	3	3阶	T3玉佩(未鉴定）	1054	1638	1154	75	20	5	Contrib	800
36	8	3	3阶	T3护身符(未鉴定）	1064	1646	1164	75	20	5	Contrib	800
37	8	4	4阶	T4项链(未鉴定）	1035	1623	1135	75	20	5	Contrib	2000
38	8	4	4阶	T4戒指(未鉴定）	1045	1631	1145	75	20	5	Contrib	2000
39	8	4	4阶	T4玉佩(未鉴定）	1055	1639	1155	75	20	5	Contrib	2000
40	8	4	4阶	T4护身符(未鉴定）	1065	1647	1165	75	20	5	Contrib	2000
41	8	5	5阶	T5项链(未鉴定）	1036	1624	1136	75	20	5	Contrib	4800
42	8	5	5阶	T5戒指(未鉴定）	1046	1632	1146	75	20	5	Contrib	4800
43	8	5	5阶	T5玉佩(未鉴定）	1056	1640	1156	75	20	5	Contrib	4800
44	8	5	5阶	T5护身符(未鉴定）	1066	1648	1166	75	20	5	Contrib	4800
45	8	6	6阶	T6项链(未鉴定）	1037	1625	1137	75	20	5	Contrib	6000
46	8	6	6阶	T6戒指(未鉴定）	1047	1633	1147	75	20	5	Contrib	6000
47	8	6	6阶	T6玉佩(未鉴定）	1057	1641	1157	75	20	5	Contrib	6000
48	8	6	6阶	T6护身符(未鉴定）	1067	1649	1167	75	20	5	Contrib	6000
49	8	7	7阶	T7项链(未鉴定）	1038	1626	1138	75	20	5	Contrib	8000
50	8	7	7阶	T7戒指(未鉴定）	1048	1634	1148	75	20	5	Contrib	8000
51	8	7	7阶	T7玉佩(未鉴定）	1058	1642	1158	75	20	5	Contrib	8000
52	8	7	7阶	T7护身符(未鉴定）	1068	1650	1168	75	20	5	Contrib	8000
53	8	8	8阶	T8项链(未鉴定）	1039	1627	1139	75	20	5	Contrib	10800
54	8	8	8阶	T8戒指(未鉴定）	1049	1635	1149	75	20	5	Contrib	10800
55	8	8	8阶	T8玉佩(未鉴定）	1059	1643	1159	75	20	5	Contrib	10800
56	8	8	8阶	T8护身符(未鉴定）	1069	1651	1169	75	20	5	Contrib	10800
57	8	9	9阶	T9项链(未鉴定）	1040	3649	1140	75	20	5	Contrib	14400
58	8	9	9阶	T9戒指(未鉴定）	1050	3651	1150	75	20	5	Contrib	14400
59	8	9	9阶	T9玉佩(未鉴定）	1060	3653	1160	75	20	5	Contrib	14400
60	8	9	9阶	T9护身符(未鉴定）	1070	3655	1170	75	20	5	Contrib	14400
61	8	10	10阶	T10项链(未鉴定）	1041	3650	1141	75	20	5	Contrib	18000
62	8	10	10阶	T10戒指(未鉴定）	1051	3652	1151	75	20	5	Contrib	18000
63	8	10	10阶	T10玉佩(未鉴定）	1061	3654	1161	75	20	5	Contrib	18000
64	8	10	10阶	T10护身符(未鉴定）	1071	3656	1171	75	20	5	Contrib	18000
65	8	11	11阶	T11项链(未鉴定）	5471	5671	5571	75	20	5	Contrib	22500
66	8	11	11阶	T11戒指(未鉴定）	5481	5681	5581	75	20	5	Contrib	22500
67	8	11	11阶	T11玉佩(未鉴定）	5491	5691	5591	75	20	5	Contrib	22500
68	8	11	11阶	T11护身符(未鉴定）	5501	5701	5601	75	20	5	Contrib	22500
69	8	12	12阶	T12项链(未鉴定）	5472	5672	5572	75	20	5	SilverBoard	20000
70	8	12	12阶	T12戒指(未鉴定）	5482	5682	5582	75	20	5	SilverBoard	20000
71	8	12	12阶	T12玉佩(未鉴定）	5492	5692	5592	75	20	5	SilverBoard	20000
72	8	12	12阶	T12护身符(未鉴定）	5502	5702	5602	75	20	5	SilverBoard	20000
73	8	13	13阶	T13项链(未鉴定）	5473	5673	5573	75	20	5	SilverBoard	30000
74	8	13	13阶	T13戒指(未鉴定）	5483	5683	5583	75	20	5	SilverBoard	30000
75	8	13	13阶	T13玉佩(未鉴定）	5493	5693	5593	75	20	5	SilverBoard	30000
76	8	13	13阶	T13护身符(未鉴定）	5503	5703	5603	75	20	5	SilverBoard	30000
77	8	14	14阶	T14项链(未鉴定）	5474	5674	5574	75	20	5	SilverBoard	50000
78	8	14	14阶	T14戒指(未鉴定）	5484	5684	5584	75	20	5	SilverBoard	50000
79	8	14	14阶	T14玉佩(未鉴定）	5494	5694	5594	75	20	5	SilverBoard	50000
80	8	14	14阶	T14护身符(未鉴定）	5504	5704	5604	75	20	5	SilverBoard	50000
81	8	15	15阶	T15项链(未鉴定）	5475	5675	5575	75	20	5	SilverBoard	70000
82	8	15	15阶	T15戒指(未鉴定）	5485	5685	5585	75	20	5	SilverBoard	70000
83	8	15	15阶	T15玉佩(未鉴定）	5495	5695	5595	75	20	5	SilverBoard	70000
84	8	15	15阶	T15护身符(未鉴定）	5505	5705	5605	75	20	5	SilverBoard	70000
85	6	2	2阶	T2帽子(未鉴定）	1073	1653	1173	75	20	5	Contrib	200
86	6	2	2阶	T2护腕(未鉴定）	1093	1669	1193	75	20	5	Contrib	200
87	6	2	2阶	T2腰带(未鉴定）	1103	1677	1203	75	20	5	Contrib	200
88	6	2	2阶	T2鞋子(未鉴定）	1113	1685	1213	75	20	5	Contrib	200
89	6	3	3阶	T3帽子(未鉴定）	1074	1654	1174	75	20	5	Contrib	400
90	6	3	3阶	T3护腕(未鉴定）	1094	1670	1194	75	20	5	Contrib	400
91	6	3	3阶	T3腰带(未鉴定）	1104	1678	1204	75	20	5	Contrib	400
92	6	3	3阶	T3鞋子(未鉴定）	1114	1686	1214	75	20	5	Contrib	400
93	6	4	4阶	T4帽子(未鉴定）	1075	1655	1175	75	20	5	Contrib	1000
94	6	4	4阶	T4护腕(未鉴定）	1095	1671	1195	75	20	5	Contrib	1000
95	6	4	4阶	T4腰带(未鉴定）	1105	1679	1205	75	20	5	Contrib	1000
96	6	4	4阶	T4鞋子(未鉴定）	1115	1687	1215	75	20	5	Contrib	1000
97	6	5	5阶	T5帽子(未鉴定）	1076	1656	1176	75	20	5	Contrib	2400
98	6	5	5阶	T5护腕(未鉴定）	1096	1672	1196	75	20	5	Contrib	2400
99	6	5	5阶	T5腰带(未鉴定）	1106	1680	1206	75	20	5	Contrib	2400
100	6	5	5阶	T5鞋子(未鉴定）	1116	1688	1216	75	20	5	Contrib	2400
101	6	6	6阶	T6帽子(未鉴定）	1077	1657	1177	75	20	5	Contrib	3000
102	6	6	6阶	T6护腕(未鉴定）	1097	1673	1197	75	20	5	Contrib	3000
103	6	6	6阶	T6腰带(未鉴定）	1107	1681	1207	75	20	5	Contrib	3000
104	6	6	6阶	T6鞋子(未鉴定）	1117	1689	1217	75	20	5	Contrib	3000
105	6	7	7阶	T7帽子(未鉴定）	1078	1658	1178	75	20	5	Contrib	4000
106	6	7	7阶	T7护腕(未鉴定）	1098	1674	1198	75	20	5	Contrib	4000
107	6	7	7阶	T7腰带(未鉴定）	1108	1682	1208	75	20	5	Contrib	4000
108	6	7	7阶	T7鞋子(未鉴定）	1118	1690	1218	75	20	5	Contrib	4000
109	6	8	8阶	T8帽子(未鉴定）	1079	1659	1179	75	20	5	Contrib	5400
110	6	8	8阶	T8护腕(未鉴定）	1099	1675	1199	75	20	5	Contrib	5400
111	6	8	8阶	T8腰带(未鉴定）	1109	1683	1209	75	20	5	Contrib	5400
112	6	8	8阶	T8鞋子(未鉴定）	1119	1691	1219	75	20	5	Contrib	5400
113	6	9	9阶	T9帽子(未鉴定）	1080	3657	1180	75	20	5	Contrib	7200
114	6	9	9阶	T9护腕(未鉴定）	1100	3661	1200	75	20	5	Contrib	7200
115	6	9	9阶	T9腰带(未鉴定）	1110	3663	1210	75	20	5	Contrib	7200
116	6	9	9阶	T9鞋子(未鉴定）	1120	3665	1220	75	20	5	Contrib	7200
117	6	10	10阶	T10帽子(未鉴定）	1081	3658	1181	75	20	5	Contrib	9000
118	6	10	10阶	T10护腕(未鉴定）	1101	3662	1201	75	20	5	Contrib	9000
119	6	10	10阶	T10腰带(未鉴定）	1111	3664	1211	75	20	5	Contrib	9000
120	6	10	10阶	T10鞋子(未鉴定）	1121	3666	1221	75	20	5	Contrib	9000
121	6	11	11阶	T11帽子(未鉴定）	5511	5711	5611	75	20	5	Contrib	11250
122	6	11	11阶	T11护腕(未鉴定）	5531	5731	5631	75	20	5	Contrib	11250
123	6	11	11阶	T11腰带(未鉴定）	5541	5741	5641	75	20	5	Contrib	11250
124	6	11	11阶	T11鞋子(未鉴定）	5551	5751	5651	75	20	5	Contrib	11250
125	6	12	12阶	T12帽子(未鉴定）	5512	5712	5612	75	20	5	SilverBoard	20000
126	6	12	12阶	T12护腕(未鉴定）	5532	5732	5632	75	20	5	SilverBoard	20000
127	6	12	12阶	T12腰带(未鉴定）	5542	5742	5642	75	20	5	SilverBoard	20000
128	6	12	12阶	T12鞋子(未鉴定）	5552	5752	5652	75	20	5	SilverBoard	20000
129	6	13	13阶	T13帽子(未鉴定）	5513	5713	5613	75	20	5	SilverBoard	30000
130	6	13	13阶	T13护腕(未鉴定）	5533	5733	5633	75	20	5	SilverBoard	30000
131	6	13	13阶	T13腰带(未鉴定）	5543	5743	5643	75	20	5	SilverBoard	30000
132	6	13	13阶	T13鞋子(未鉴定）	5553	5753	5653	75	20	5	SilverBoard	30000
133	6	14	14阶	T14帽子(未鉴定）	5514	5714	5614	75	20	5	SilverBoard	50000
134	6	14	14阶	T14护腕(未鉴定）	5534	5734	5634	75	20	5	SilverBoard	50000
135	6	14	14阶	T14腰带(未鉴定）	5544	5744	5644	75	20	5	SilverBoard	50000
136	6	14	14阶	T14鞋子(未鉴定）	5554	5754	5654	75	20	5	SilverBoard	50000
137	6	15	15阶	T15帽子(未鉴定）	5515	5715	5615	75	20	5	SilverBoard	70000
138	6	15	15阶	T15护腕(未鉴定）	5535	5735	5635	75	20	5	SilverBoard	70000
139	6	15	15阶	T15腰带(未鉴定）	5545	5745	5645	75	20	5	SilverBoard	70000
140	6	15	15阶	T15鞋子(未鉴定）	5555	5755	5655	75	20	5	SilverBoard	70000
