OpenServerDay	StartDateTime	EndDateTime	KeyName	Type	Desc	TimeFrameLimitGE	TimeFrameLimitLE	Param1	Param2	Param3	Param4	Param5	Param6	Param7	Param8	Param9	Param10	version_tx	version_vn	version_hk	version_xm	version_en	version_kor	version_th
	2016-11-19-04-00-00	2016-11-21-04-00-00	IdiomsAct	IdiomsAct				Setting/Activity/Idioms/Award1.tab										1	1	1	1			
	2016-12-12-04-00-00	2016-12-16-04-00-00	IdiomsAct	IdiomsAct				Setting/Activity/Idioms/Award1.tab												1				
	2016-11-24-00-00-00	2016-12-01-23-59-59	ContinualRechargeAct	ContinualRechargeAct	连续储值活动															1				
	2016-11-24-04-00-00	2016-11-29-04-00-00	GanEnAct	DuanWuJie	感恩节活动（港台）															1				
	2016-11-24-04-00-00	2016-12-04-04-00-00	RechargeResetDou	RechargeResetDou																1				
	2017-4-29-04-00-00	2030-5-02-04-00-00	DefendAct	DefendAct	缘定长相守													1	1	1	1			
	2016-11-25-00-00-00	2016-11-25-23-59-59	CardPickReplaceSSAct1	CardPickReplaceSSAct				OpenDay52	20											1				
	2016-11-26-00-00-00	2016-11-26-23-59-59	CardPickReplaceSSAct2	CardPickReplaceSSAct				OpenDay52	21											1				
	2016-11-27-00-00-00	2016-11-27-23-59-59	CardPickReplaceSSAct3	CardPickReplaceSSAct				OpenDay52	22											1				
	2017-12-25-04-00-00	2018-1-4-23-59-59	ChristmasGift	ChristmasGift	圣诞礼物													1	1	1	1			
	2016-12-19-00-00-00	2016-12-19-23-59-59	CardPickReplaceSSAct1	CardPickReplaceSSAct		OpenLevel39|1	OpenDay720|3	OpenDay52	20											1				
	2016-12-20-00-00-00	2016-12-20-23-59-59	CardPickReplaceSSAct2	CardPickReplaceSSAct		OpenLevel39|1	OpenDay720|3	OpenDay52	21											1				
	2016-12-21-00-00-00	2016-12-21-23-59-59	CardPickReplaceSSAct3	CardPickReplaceSSAct		OpenLevel39|1	OpenDay720|3	OpenDay52	22											1				
	2017-12-25-04-00-00	2018-1-4-23-59-59	NYSnowmanAct	NYSnowmanAct	元旦雪人													1	1	1	1			
	2017-12-25-04-00-00	2018-1-4-23-59-59	NewYearChris	NewYearChris	许愿+礼盒													1						
	2016-12-16-04-00-00	2016-12-17-04-00-00	RechargeAllDayCardAct	RechargeAllDayCardAct	每日礼包加码送活动			item|786|3;item|222|5												1				
	2016-12-18-04-00-00	2016-12-19-04-00-00	RechargeAllDayCardAct	RechargeAllDayCardAct	每日礼包加码送活动			item|786|3;item|222|5												1				
	2016-12-21-04-00-00	2016-12-22-04-00-00	RechargeAllDayCardAct	RechargeAllDayCardAct	每日礼包加码送活动			item|786|3;item|222|5												1				
	2016-12-08-04-00-00	2016-12-09-04-00-00	YuanQi	DuanWuJie	元气礼包（港台）															1				
	2016-12-12-04-00-00	2016-12-13-04-00-00	YuanQi	DuanWuJie	元气礼包（港台）															1				
	2016-12-15-04-00-00	2016-12-16-04-00-00	YuanQi	DuanWuJie	元气礼包（港台）															1				
	2016-12-19-04-00-00	2016-12-20-04-00-00	YuanQi	DuanWuJie	元气礼包（港台）															1				
	2016-12-24-04-00-00	2017-1-3-23-59-59	DaXueZhang	DaXueZhang	打雪仗活动													1	1	1	1			
	2018-9-04-04-00-00	2018-9-06-24-00-00	ServerCelebration3	GatherBox	全区全服庆典活动															1				
	2018-9-4-04-00-00	2030-9-6-03-59-59	EverydayTarget1	DuanWuJie	每日目标额外奖励													1		1				
	2016-12-21-04-00-00	2030-12-22-04-03-00	WinterAct	WinterAct	冬至活动													1						
	2017-1-3-19-20-00	2017-1-3-19-35-00	LabaMessenger	LabaMessenger	腊八：刷新赏善罚恶使													1						
	2017-1-3-00-00-00	2017-1-5-23-59-59	LabaRobber	LabaRobber	腊八：盗贼													1						
	2018-1-24-04-00-00	2018-1-27-23-59-59	LabaFuben	LabaFuben	腊八：副本													1						
	2018-1-23-04-00-00	2018-1-28-23-59-59	LabaAct	LabaAct	腊八：腊八粥													1						
	2018-9-04-04-00-00	2018-9-21-24-00-00	RechargeResetDou	RechargeResetDou	重置首次储值双倍															1				
	2017-3-11-00-00-00	2017-3-22-23-59-59	WishAct	WishAct	腊八节许愿树													1						
	2017-11-16-10-00-00	2030-12-3-21-30-00	BiWuZhaoQin	BiWuZhaoQin	比武招亲	OpenLevel69|1	OpenDay720|3											1						
	2017-1-21-00-00-00	2017-1-30-23-59-59	RechargeResetDou	RechargeResetDou	重置首次储值双倍														1					
	2017-1-12-00-00-00	2017-1-12-23-59-59	CardPickReplaceSSAct1	CardPickReplaceSSAct				OpenDay52	21												1			
	2017-1-13-00-00-00	2017-1-13-23-59-59	CardPickReplaceSSAct2	CardPickReplaceSSAct				OpenDay52	22												1			
	2017-1-14-00-00-00	2017-1-14-23-59-59	CardPickReplaceSSAct3	CardPickReplaceSSAct				OpenDay52	20												1			
	2018-2-11-04-00-00	2030-2-21-04-00-00	MonsterNianAct1	MonsterNianAct	新年:驱逐年兽													1	1	1	1			
	2018-6-1-04-00-00	2018-6-16-03-59-59	NewYearLoginAct	NewYearLoginAct	登录领奖活动			Setting/Activity/LoginAwardsAct.tab										1	1	1	1			
	2017-9-6-04-00-00	2017-9-21-03-59-59	NewYearLoginAct	NewYearLoginAct	登录领奖活动（TH）			Setting/Activity/LoginAwardsAct.tab																1
	2017-9-8-04-00-00	2017-9-23-03-59-59	NewYearLoginAct	NewYearLoginAct	登入领奖活动（HK）			Setting/Activity/LoginAwardsAct.tab												1				
	2018-2-12-04-00-00	2018-2-27-03-59-59	ReduceFatigueAct	ReduceFatigueAct	降低疲劳活动													1	1	1	1			
	2017-1-28-00-00-00	2017-1-29-04-00-00	SendBlessActWord	SendBlessActWord	新年：祝福活动													1	1	1	1			
	2017-2-1-00-00-00	2017-2-2-04-00-00	SendBlessActWord	SendBlessActWord	新年：祝福活动													1	1	1	1			
	2017-2-5-00-00-00	2017-2-6-04-00-00	SendBlessActWord	SendBlessActWord	新年：祝福活动													1	1	1	1			
	2017-1-25-04-00-00	2030-2-8-23-59-59	ShopAct	ShopAct	新年：特惠商品			ServerSetting/Activity/ShopActWares.tab										1	1	1	1			
	2017-1-25-04-00-00	2030-2-8-23-59-59	RechargeNewyearGrowInvest	RechargeNewyearGrowInvest	新年：一本万利													1	1	1	1			
	2017-1-25-04-00-00	2017-2-8-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	新年：新年大礼包（3级魂石任选）	OpenLevel39|1	OpenDay720|3	tbFirstAward										1	1	1	1			
	2017-1-25-04-00-00	2017-2-8-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	新年：新年大礼包（4级魂石任选）			tbAward										1	1	1	1			
	2018-2-13-04-00-00	2030-2-16-03-59-59	QingRenJie	QingRenJie	情人节活动													1	1	1	1			
	2017-3-8-00-00-00	2017-3-8-23-59-59	CardPickReplaceSSAct10	CardPickReplaceSSAct				OpenDay128	18											1				
	2017-3-9-00-00-00	2017-3-9-23-59-59	CardPickReplaceSSAct11	CardPickReplaceSSAct				OpenDay128	19											1				
	2017-3-10-00-00-00	2017-3-10-23-59-59	CardPickReplaceSSAct12	CardPickReplaceSSAct				OpenDay128	17											1				
	2017-3-8-00-00-00	2017-3-8-23-59-59	CardPickReplaceSSAct13	CardPickReplaceSSAct				OpenDay52	22											1				
	2017-3-9-00-00-00	2017-3-9-23-59-59	CardPickReplaceSSAct14	CardPickReplaceSSAct				OpenDay52	20											1				
	2017-3-10-00-00-00	2017-3-10-23-59-59	CardPickReplaceSSAct15	CardPickReplaceSSAct				OpenDay52	21											1				
	2018-3-8-04-00-00	2018-3-11-03-59-59	WomensDay	WomensDay	武林知己印象签活动①②				1									1	1	1	1			
	2018-3-8-04-00-00	2018-6-8-3-59-59	WomanAct	WomanAct	武林知己印象签活动③													1	1	1	1			
	2018-3-8-04-00-00	2018-3-11-03-59-59	WomenDayFubenAct	WomenDayFubenAct	妇女节副本													1						
	2017-5-19-00-00-00	2017-5-21-23-59-59	ArborDayCure	ArborDayCure	植树节 节流													1	1	1	1			
	2017-4-2-04-00-00	2017-4-5-03-59-59	QingMingAct	QingMingAct	清明节													1						
	2017-4-12-04-00-00	2017-5-12-04-00-00	RechargeResetDou	RechargeResetDou	重置首次储值双倍（开服满1周的伺服器可以参与活动）													1						
	2017-4-18-04-00-00	2017-4-24-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	半年庆礼包（橙水晶）			tbAward													1			
	2017-4-18-04-00-00	2017-4-24-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	半年庆礼包（紫水晶）			tbFirstAward													1			
	2017-4-18-04-00-00	2017-4-24-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	半年庆礼包（蓝水晶）			tbThirdAward													1			
	2017-5-5-00-00-00	2017-5-15-23-59-59	RechargeResetDou	RechargeResetDou	重置首次储值双倍（HK）															1				
	2017-5-24-04-00-00	2030-5-31-04-00-00	ShopAct	ShopAct	越南：限时商品			ServerSetting/Activity/ShopActWares_VN.tab											1					
	2017-5-24-04-00-00	2017-5-31-04-00-00	RechargeResetDou	RechargeResetDou	重置首次储值双倍（VN）														1					
	2018-1-10-04-00-00	2030-2-11-23-59-59	ShopAct	ShopAct	XM：限时商品			ServerSetting/Activity/ShopActWares_XM.tab													1			
	2017-5-26-04-00-00	2017-6-04-04-00-00	RechargeResetDou	RechargeResetDou	重置首次储值双倍（XM）																1			
	2017-5-19-04-00-00	2030-5-22-04-00-00	LoverRecallAct	LoverRecallAct	往日情缘活动													1						
	2017-6-16-12-00-00	2017-7-07-23-59-59	BeautyPageant	BeautyPageant	武林第一美女评选（开放59级时间轴的伺服器参与活动）													1						
	2017-5-29-04-00-00	2017-6-11-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	周年庆礼包	OpenLevel39|1	OpenDay720|3	tbAward										1						
	2017-5-29-04-00-00	2017-6-11-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	周年庆礼包			tbFirstAward										1						
	2017-5-29-04-00-00	2017-6-11-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	周年庆礼包			tbThirdAward										1						
	2017-5-29-04-00-00	2017-6-11-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	周年庆礼包			szFourthAward										1						
	2017-6-18-20-30-00	2017-6-18-21-30-00	NpcBiWuZhaoQin	NpcBiWuZhaoQin	代言人比武招亲			2										1						
	2017-6-11-20-30-00	2017-6-11-21-30-00	NpcBiWuZhaoQin	NpcBiWuZhaoQin	代言人比武招亲			1										1						
	2017-6-2-00-00-00	2017-6-30-23-59-59	DaiYanRenAct	DaiYanRenAct	代言人活动			6020	6037									1						
	2017-6-22-04-00-00	2017-6-30-23-59-59	RechargeResetDou	RechargeResetDou	重置首次储值双倍（开服满1周的伺服器可以参与活动）																			1
	2017-6-22-04-00-00	2030-6-30-23-59-59	ShopAct	ShopAct	TH：限时商品			ServerSetting/Activity/ShopActWares_TH.tab																1
	2017-6-16-00-00-00	2017-6-18-23-59-59	FathersDay	FathersDay	父亲节													1	1	1	1			
	2018-9-4-04-00-00	2018-9-30-23-59-59	ShopAct	ShopAct	风动苍澜外装、天剑令			ServerSetting/Activity/ShopActWares_HK.tab												1				
	2018-10-1-04-00-00	2018-10-5-23-59-59	ShopAct	ShopAct	浮光若梦外装上架			ServerSetting/Activity/ShopActWares_HK.tab												1				
	2017-6-28-16-30-00	2017-7-8-23-59-59	RechargeResetDou	RechargeResetDou	重置首次储值双倍（HK）															1				
	2019-1-28-04-00-00	2019-2-1-03-59-59	WuLinDaHuiActYuGao	WuLinDaHuiActYuGao	武林大会-预告	OpenLevel69|1	OpenDay720|999														1			
	2019-2-1-04-00-00	2019-2-3-03-59-59	WuLinDaHuiActBaoMing	WuLinDaHuiActBaoMing	武林大会-报名	OpenLevel69|3	OpenDay720|999														1			
	2019-2-3-04-00-00	2019-2-11-23-59-59	WuLinDaHuiAct	WuLinDaHuiAct	武林大会-正赛	OpenLevel69|5	OpenDay720|999														1			
	2018-6-5-04-00-00	2018-6-11-23-59-59	CloseActBLBoss	CloseActBLBoss	关闭跨服名将													1						
	2017-7-7-04-00-00	2030-7-12-23-59-59	ShopAct	ShopAct	园艺武器外装打折			ServerSetting/Activity/ShopActWares.tab	0	限时限购	Dress							1						
	2017-7-14-04-00-00	2017-7-20-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	盛夏狂欢礼包（未开启69）	OpenLevel39|1	OpenDay720|3	tbAward										1						
	2017-7-14-04-00-00	2017-7-20-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	盛夏狂欢礼包（开启69）			tbFirstAward										1						
	2017-7-14-04-00-00	2017-7-20-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	盛夏狂欢礼包（开启89）			tbThirdAward										1						
	2017-7-14-04-00-00	2017-7-20-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	盛夏庆典礼包（未开启69）	OpenLevel39|1	OpenDay720|3	tbAward										1						
	2017-7-14-04-00-00	2017-7-20-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	盛夏庆典礼包（开启69）			tbFirstAward										1						
	2017-7-14-04-00-00	2017-7-20-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	盛夏庆典礼包（开启89）			tbThirdAward										1						
	2017-7-20-04-00-00	2017-7-27-23-59-59	RechargeNewyearGrowInvest	RechargeNewyearGrowInvest	盛夏：一本万利													1						
	2017-9-15-04-00-00	2017-9-23-23-59-59	RechargeNewyearGrowInvest	RechargeNewyearGrowInvest	盛夏：一本万利（VN）														1					
	2018-1-1-04-00-00	2018-1-7-23-59-59	RechargeNewyearGrowInvest	RechargeNewyearGrowInvest	一本万利·元旦													1						
	2018-10-1-04-00-00	2018-10-7-23-59-59	RechargeNewyearGrowInvest	RechargeNewyearGrowInvest	一本万利·通宝													1		1				
	2018-6-21-04-00-00	2018-6-27-23-59-59	RechargeNewyearGrowInvest	RechargeNewyearGrowInvest	一本万利·仲夏													1						
	2017-7-13-04-00-00	2017-7-24-3-59-59	HouseDefend	HouseDefend	代言人家园活跃活动													1						
	2017-7-27-04-00-00	2020-8-25-23-59-59	ShopAct	ShopAct	限时商品（天剑令打折）			ServerSetting/Activity/ShopActWares.tab										1						
	2017-9-29-04-00-00	2017-10-6-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	神州大地礼包（未开69上限）	OpenLevel39|1	OpenLevel69|-1	tbAward										1						
	2017-9-29-04-00-00	2017-10-6-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	神州大地礼包（开启69）	OpenLevel69|1	OpenLevel89|-1	tbFirstAward										1						
	2017-9-29-04-00-00	2017-10-6-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	神州大地礼包（开启89）	OpenLevel89|1	OpenDay720|3	tbThirdAward										1						
	2017-9-29-04-00-00	2017-10-6-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	华夏风光礼包（未开69上限）	OpenLevel39|1	OpenLevel69|-1	tbAward										1						
	2017-9-29-04-00-00	2017-10-6-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	华夏风光礼包（开启69）	OpenLevel69|1	OpenLevel89|-1	tbFirstAward										1						
	2017-9-29-04-00-00	2017-10-6-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	华夏风光礼包（开启89）	OpenLevel89|1	OpenDay720|3	tbThirdAward										1						
	2017-9-29-04-00-00	2017-10-6-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	锦绣山河礼包（未开69上限）	OpenLevel39|1	OpenLevel69|-1	tbAward										1						
	2017-9-29-04-00-00	2017-10-6-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	锦绣山河礼包（开启69）	OpenLevel69|1	OpenLevel89|-1	tbFirstAward										1						
	2017-9-29-04-00-00	2017-10-6-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	锦绣山河礼包（开启89）	OpenLevel89|1	OpenDay720|3	tbThirdAward										1						
	2017-9-29-04-00-00	2017-10-6-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	如画江山礼包（未开69上限）	OpenLevel39|1	OpenLevel69|-1	tbAward										1						
	2017-9-29-04-00-00	2017-10-6-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	如画江山礼包（开启69）	OpenLevel69|1	OpenLevel89|-1	tbFirstAward										1						
	2017-9-29-04-00-00	2017-10-6-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	如画江山礼包（开启89）	OpenLevel89|1	OpenDay720|3	tbThirdAward										1						
	2017-9-15-04-00-00	2017-9-28-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	盛夏骄阳礼包（VN/未开69上限）	OpenLevel39|1	OpenLevel69|-1	tbAward											1					
	2017-9-15-04-00-00	2017-9-28-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	盛夏骄阳礼包（VN/开启69）	OpenLevel69|1	OpenLevel89|-1	tbFirstAward											1					
	2017-9-15-04-00-00	2017-9-28-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	盛夏骄阳礼包（VN/开启89）	OpenLevel89|1	OpenLevel139|777	tbThirdAward											1					
	2017-9-15-04-00-00	2017-9-28-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	盛夏苍翠礼包（VN/未开69上限）	OpenLevel39|1	OpenLevel69|-1	tbAward											1					
	2017-9-15-04-00-00	2017-9-28-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	盛夏苍翠礼包（VN/开启69）	OpenLevel69|1	OpenLevel89|-1	tbFirstAward											1					
	2017-9-15-04-00-00	2017-9-28-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	盛夏苍翠礼包（VN/开启89）	OpenLevel89|1	OpenLevel139|777	tbThirdAward											1					
	2017-9-15-04-00-00	2017-9-28-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	盛夏莲碧礼包（VN/未开69上限）	OpenLevel39|1	OpenLevel69|-1	tbAward											1					
	2017-9-15-04-00-00	2017-9-28-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	盛夏莲碧礼包（VN/开启69）	OpenLevel69|1	OpenLevel89|-1	tbFirstAward											1					
	2017-9-15-04-00-00	2017-9-28-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	盛夏莲碧礼包（VN/开启89）	OpenLevel89|1	OpenLevel139|777	tbThirdAward											1					
	2017-9-15-04-00-00	2017-9-28-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	盛夏蝉鸣礼包（VN/未开69上限）	OpenLevel39|1	OpenLevel69|-1	tbAward											1					
	2017-9-15-04-00-00	2017-9-28-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	盛夏蝉鸣礼包（VN/开启69）	OpenLevel69|1	OpenLevel89|-1	tbFirstAward											1					
	2017-9-15-04-00-00	2017-9-28-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	盛夏蝉鸣礼包（VN/开启89）	OpenLevel89|1	OpenLevel139|777	tbThirdAward											1					
OpenLevel39|1;OpenLevel39|30			HonorLevelRank1	HonorLevelRank	开服潜龙头衔冲榜活动			1										1						
OpenLevel69|1;OpenLevel69|30			HonorLevelRank2	HonorLevelRank	开服倚天头衔冲榜活动			2										1						
OpenLevel39|1;OpenLevel39|30			HonorLevelRank1	HonorLevelRank	开服潜龙头衔冲榜活动（VN）			1											1					
OpenLevel69|1;OpenLevel69|30			HonorLevelRank2	HonorLevelRank	开服倚天头衔冲榜活动（VN）			2											1					
OpenLevel39|1;OpenLevel39|30			HonorLevelRank1	HonorLevelRank	开服潜龙头衔冲榜活动（XM）			1													1			
OpenLevel69|1;OpenLevel69|30			HonorLevelRank2	HonorLevelRank	开服倚天头衔冲榜活动（XM）			2													1			
	2017-8-10-10-00-00	2017-8-16-10-00-00	RechargeNewYearBuyGift	RechargeNewYearBuyGift	母亲节礼包549（未开启69/TH）			tbAward																1
	2017-8-10-10-00-00	2017-8-16-10-00-00	RechargeNewYearBuyGift	RechargeNewYearBuyGift	母亲节礼包549（开启69/TH）			tbFirstAward																1
	2017-8-10-10-00-00	2017-8-16-10-00-00	RechargeNewYearBuyGift	RechargeNewYearBuyGift	母亲节礼包549（开启89/TH）			tbThirdAward																1
	2017-8-10-10-00-00	2017-8-16-10-00-00	RechargeNewYearBuyGift	RechargeNewYearBuyGift	母亲节礼包169（未开启69/TH）	OpenLevel39|1	OpenDay720|3	tbAward																1
	2017-8-10-10-00-00	2017-8-16-10-00-00	RechargeNewYearBuyGift	RechargeNewYearBuyGift	母亲节礼包169（开启69/TH）			tbFirstAward																1
	2017-8-10-10-00-00	2017-8-16-10-00-00	RechargeNewYearBuyGift	RechargeNewYearBuyGift	母亲节礼包169（开启89/TH）			tbThirdAward																1
	2017-8-25-10-00-00	2017-8-31-10-00-00	RechargeNewYearBuyGift	RechargeNewYearBuyGift	母亲节礼包549（未开启69/TH）	OpenLevel39|1	OpenDay720|3	tbAward																1
	2017-8-25-10-00-00	2017-8-31-10-00-00	RechargeNewYearBuyGift	RechargeNewYearBuyGift	母亲节礼包549（开启69/TH）			tbFirstAward																1
	2017-8-25-10-00-00	2017-8-31-10-00-00	RechargeNewYearBuyGift	RechargeNewYearBuyGift	母亲节礼包549（开启89/TH）			tbThirdAward																1
	2017-8-25-10-00-00	2017-8-31-10-00-00	RechargeNewYearBuyGift	RechargeNewYearBuyGift	母亲节礼包169（未开启69/TH）	OpenLevel39|1	OpenDay720|3	tbAward																1
	2017-8-25-10-00-00	2017-8-31-10-00-00	RechargeNewYearBuyGift	RechargeNewYearBuyGift	母亲节礼包169（开启69/TH）			tbFirstAward																1
	2017-8-25-10-00-00	2017-8-31-10-00-00	RechargeNewYearBuyGift	RechargeNewYearBuyGift	母亲节礼包169（开启89/TH）			tbThirdAward																1
	2017-8-28-04-00-00	2017-8-31-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	欣欣向荣礼包（开放99级/XM）			tbAward																
	2017-8-28-04-00-00	2017-8-31-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	欣欣向荣礼包（开放69-89级/XM）			tbFirstAward																
	2017-8-28-04-00-00	2017-8-31-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	一见倾心礼包（开放99级/XM）			tbAward																
	2017-8-28-04-00-00	2017-8-31-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	一见倾心礼包（开放69-89级/XM）			tbFirstAward																
	2017-8-27-04-00-00	2017-9-3-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	七夕节礼包（未开69上限）	OpenLevel39|1	OpenLevel69|-1	tbAward										1	1	1	1	1	1	1
	2017-8-27-04-00-00	2017-9-3-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	七夕节礼包（开启69）	OpenLevel69|1	OpenLevel89|-1	tbFirstAward										1	1	1	1	1	1	1
	2017-8-27-04-00-00	2017-9-3-23-59-59	RechargeNewYearBuyGift	RechargeNewYearBuyGift	七夕节礼包（开启89）	OpenLevel89|1	OpenDay720|3	tbThirdAward										1	1	1	1	1	1	1
	2017-8-27-04-00-00	2030-9-3-23-59-59	ShopAct	ShopAct	限时商品（武器外装打折）			ServerSetting/Activity/ShopActWares_1.tab										1						
