Index	NpcName	TitleID	NpcTemplateId	WalkNearLength	CanAutoPath	NpcLevel	XPos	YPos	StandDir	Quantity	NpcType	NpcCamp	NpcDroprate	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	Removewhendeath	ChangeColorScheme	HideTaskId
citynpc18	騰雲		693	150		99	12380	18530	16	-1	0	0		0	0	0	0	0	0	0	0	
citynpc19	駕霧		699	150		99	12370	18680	19	-1	0	0		0	0	0	0	0	0	0	0	
citynpc20	秋依水		694	150		99	8650	11040	60	-1	0	0		0	0	0	0	0	0	0	0	
citynpc21	劉雲	105	91	150		99	12027	9384	0	-1	0	0		0	0	0	0	0	0	0	0	
citynpc22	楊瑛		633	150		99	16130	13350	48	-1	0	0		0	0	0	0	0	0	0	0	
citynpc23	柴嵩		1350	150		99	11140	10360	53	-1	0	0		0	0	0	0	0	0	0	0	
citynpc24	南宮飛雲		89	150		99	15650	11300	2	-1	0	0		0	0	0	0	0	0	0	0	
citynpc25	張風		92	150		99	14502	11245	62	-1	0	0		0	0	0	0	0	0	0	0	
citynpc26	清曉		1529	150		99	12130	10330	15	-1	0	0		0	0	0	0	0	0	0	0	
citynpc27	祝子虛		1528	150		99	8950	12920	51	-1	0	0		0	0	0	0	0	0	0	0	
citynpc28	黃暮雲	123	1530	150	1	99	8070	13370	0	-1	0	0		0	0	0	0	0	0	0	0	
citynpc29	小紫煙	118	95	150		99	15200	13140	0	-1	0	0		0	0	0	0	0	0	0	0	
CommerceTask	萬金財	109	190	200	1	99	13100	17870	0	-1	0	0		0	0	0	0	0	0	0	0	
daiyanren_tingting	挺哥	5000	1666	150	1	99	9700	17500	43	-1	0	0		0	0	0	0	0	0	0	0	
daiyanren_yuanyuan	小緣	5001	1667	150		99	9600	17400	11	-1	0	0		0	0	0	0	0	0	0	0	6008
Arena_np1	武僧	115	1829	200	1	99	14312	12641	53	-1	0	0		0	0	0	0	0	0	0	0	
Daiyanren_City_zhaoliying	真兒	120	2279		1	1	15110	11210	63	0	-1	0	0		0	0	0	0	0	0	0	0
Daiyanren_City_lingengxin	楊大俠	122	2326	150	1	99	13377	17839	0	-1	0	0		0	0	0	0	0	0	0	0	
BeautyPageant_diaoxiang	選美雕像（本服冠軍）		2306	150			13284	18936	0	-1	0	0		0	0	0	0	0	0	0	0	
BeautyPageant_diaoxiang2	選美雕像（全服冠軍）		2336	150			13275	18637	0	-1	0	0		0	0	0	0	0	0	0	0	
Marry_yuelao	月老	125	2371	150	1	99	18287	12628	50	-1	0	0		0	0	0	0	0	0	0	0	
Marry_hongniang	紅娘	126	2372	150	1	99	18079	12127	0	-1	0	0		0	0	0	0	0	0	0	0	
Marry_huatong1	鳳囍	124	2373	150	1	99	18338	12955	46	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	8294	12903	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	8045	11027	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	14899	17212	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	17457	12620	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	14663	12169	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	15624	12195	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	15624	13101	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	14675	13105	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	8027	17917	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	8983	18744	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	12486	14312	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	10696	14406	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	10638	16336	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	12692	16353	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	16856	19267	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	16832	17879	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	13331	18519	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	11898	18344	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	11926	17673	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	14829	15129	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	15440	15132	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	11300	11629	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	11954	11639	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	9989	11765	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	8330	15069	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	9100	15069	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	10282	17774	62	-1	0	0		0	0	0	0	0	0	0	0	
shengdanshu	聖誕樹		2124	250		99	9141	16663	62	-1	0	0		0	0	0	0	0	0	0	0	
GoodVoice_diaoxiang	好聲音雕像（本服冠軍）	7210	2940	150			12621	15038	0	-1	0	0		0	0	0	0	0	0	0	0	
hehua1	蓮藕		3208	50	1	99	8273	19503	0	-1	0	0		0	0	0	0	0	0	0	0	
hehua2	蓮藕		3208	50	1	99	8240	17648	0	-1	0	0		0	0	0	0	0	0	0	0	
