UpgradeID	DESC	PlayerLevel	TimeFrame	BookLevel	BookSkillLevel	CostItem1	CostItemCount1	CostItem2	CostItemCount2
3269	秘笈·迷影纵	70	OpenLevel69	100	10	3269	2	2424	200
3270	秘笈·九宫飞星	75	OpenLevel69	100	10	3270	2	2424	200
3271	秘笈·仙人指路	60	OpenLevel69	100	10	3271	2	2424	200
3272	秘笈·啸风三连击	65	OpenLevel69	100	10	3272	2	2424	200
3273	秘笈·混沌剑阵	70	OpenLevel69	100	10	3273	2	2424	200
3274	秘笈·雷动九天	75	OpenLevel69	100	10	3274	2	2424	200
4021	秘笈·亢龙有悔	60	OpenLevel69	100	10	4021	2	2424	200
4022	秘笈·困龙功	65	OpenLevel69	100	10	4022	2	2424	200
4023	秘笈·醉蝶狂舞	70	OpenLevel69	100	10	4023	2	2424	200
4024	秘笈·龙战於野	75	OpenLevel69	100	10	4024	2	2424	200
4025	秘笈·阴风蚀骨	60	OpenLevel69	100	10	4025	2	2424	200
4026	秘笈·召唤毒虫	65	OpenLevel69	100	10	4026	2	2424	200
4027	秘笈·迷心蛊	70	OpenLevel69	100	10	4027	2	2424	200
4028	秘笈·万蛊蚀心	75	OpenLevel69	100	10	4028	2	2424	200
5201	秘笈·断潮	60	OpenLevel69	100	10	5201	2	2424	200
5202	秘笈·心剑	65	OpenLevel69	100	10	5202	2	2424	200
5203	秘笈·玉泉鱼跃	70	OpenLevel69	100	10	5203	2	2424	200
5204	秘笈·峰插云景	75	OpenLevel69	100	10	5204	2	2424	200
5205	秘笈·平沙雁落	60	OpenLevel69	100	10	5205	2	2424	200
5206	秘笈·云生结海	65	OpenLevel69	100	10	5206	2	2424	200
5207	秘笈·清音长啸	70	OpenLevel69	100	10	5207	2	2424	200
5208	秘笈·江逐月天	75	OpenLevel69	100	10	5208	2	2424	200
6675	秘笈·飞燕淩波	60	OpenLevel69	100	10	6675	2	2424	200
6674	秘笈·银瓶玉碎	65	OpenLevel69	100	10	6674	2	2424	200
6676	秘笈·空山凝云	70	OpenLevel69	100	10	6676	2	2424	200
6677	秘笈·水龙吟	75	OpenLevel69	100	10	6677	2	2424	200
7520	初级秘笈·化血劫光	60	OpenLevel69	100	10	7520	2	2424	200
7521	初级秘笈·挟山超海	65	OpenLevel69	100	10	7521	2	2424	200
7522	初级秘笈·逆血截脉	70	OpenLevel69	100	10	7522	2	2424	200
7523	初级秘笈·浴血蹈锋	75	OpenLevel69	100	10	7523	2	2424	200
8445	初级秘笈·萧史乘龙	60	OpenLevel69	100	10	8445	2	2424	200
8446	初级秘笈·天绅倒悬	65	OpenLevel69	100	10	8446	2	2424	200
8447	初级秘笈·朝阳一气剑	70	OpenLevel69	100	10	8447	2	2424	200
8448	初级秘笈·风送紫霞	75	OpenLevel69	100	10	8448	2	2424	200
2725	中级秘笈·野蛮冲撞	80	OpenLevel89	150	15	2398	5	2424	300
2726	中级秘笈·血战八方	85	OpenLevel89	150	15	2401	5	2424	300
2728	中级秘笈·金钟罩	90	OpenLevel89	150	15	2719	5	2424	300
2727	中级秘笈·霸王怒吼	95	OpenLevel89	150	15	2402	5	2424	300
2732	中级秘笈·江海凝波	80	OpenLevel89	150	15	2720	5	2424	300
2729	中级秘笈·天舞宝轮	85	OpenLevel89	150	15	2403	5	2424	300
2730	中级秘笈·慈航普渡	90	OpenLevel89	150	15	2404	5	2424	300
2731	中级秘笈·白露凝霜	95	OpenLevel89	150	15	2405	5	2424	300
2737	中级秘笈·飞火流星	80	OpenLevel89	150	15	2409	5	2424	300
2740	中级秘笈·九耀连珠	85	OpenLevel89	150	15	2722	5	2424	300
2738	中级秘笈·火凤燎原	90	OpenLevel89	150	15	2410	5	2424	300
2739	中级秘笈·穿云破月	95	OpenLevel89	150	15	2411	5	2424	300
2736	中级秘笈·白虹贯日	80	OpenLevel89	150	15	2721	5	2424	300
2733	中级秘笈·七探蛇盘	85	OpenLevel89	150	15	2406	5	2424	300
2734	中级秘笈·斗转星移	90	OpenLevel89	150	15	2407	5	2424	300
2735	中级秘笈·风卷残云	95	OpenLevel89	150	15	2408	5	2424	300
2741	中级秘笈·无我无剑	80	OpenLevel89	150	15	2412	5	2424	300
2743	中级秘笈·天地无极	85	OpenLevel89	150	15	2414	5	2424	300
2742	中级秘笈·坐忘无我	90	OpenLevel89	150	15	2413	5	2424	300
2744	中级秘笈·人剑合一	95	OpenLevel89	150	15	2723	5	2424	300
2748	中级秘笈·死亡回旋	80	OpenLevel89	150	15	2724	5	2424	300
2745	中级秘笈·魔焰在天	85	OpenLevel89	150	15	2415	5	2424	300
2746	中级秘笈·血月之影	90	OpenLevel89	150	15	2416	5	2424	300
2747	中级秘笈·摄魂乱心	95	OpenLevel89	150	15	2417	5	2424	300
2751	中级秘笈·降龙棍	80	OpenLevel89	150	15	2713	5	2424	300
2752	中级秘笈·大力金刚指	85	OpenLevel89	150	15	2714	5	2424	300
2753	中级秘笈·金刚伏魔	90	OpenLevel89	150	15	2715	5	2424	300
2754	中级秘笈·十二擒龙手	95	OpenLevel89	150	15	2749	5	2424	300
2755	中级秘笈·璿玑罗舞	80	OpenLevel89	150	15	2716	5	2424	300
2756	中级秘笈·雨打梨花	85	OpenLevel89	150	15	2717	5	2424	300
2757	中级秘笈·召唤啵啵	90	OpenLevel89	150	15	2718	5	2424	300
2758	中级秘笈·冰踪无影	95	OpenLevel89	150	15	2750	5	2424	300
3275	中级秘笈·缠身刺	80	OpenLevel89	150	15	3267	5	2424	300
3276	中级秘笈·暴雨梨花	85	OpenLevel89	150	15	3268	5	2424	300
3277	中级秘笈·迷影纵	90	OpenLevel89	150	15	3269	5	2424	300
3278	中级秘笈·九宫飞星	95	OpenLevel89	150	15	3270	5	2424	300
3279	中级秘笈·仙人指路	80	OpenLevel89	150	15	3271	5	2424	300
3280	中级秘笈·啸风三连击	85	OpenLevel89	150	15	3272	5	2424	300
3281	中级秘笈·混沌剑阵	90	OpenLevel89	150	15	3273	5	2424	300
3282	中级秘笈·雷动九天	95	OpenLevel89	150	15	3274	5	2424	300
4029	中级秘笈·亢龙有悔	80	OpenLevel89	150	15	4021	5	2424	300
4030	中级秘笈·困龙功	85	OpenLevel89	150	15	4022	5	2424	300
4031	中级秘笈·醉蝶狂舞	90	OpenLevel89	150	15	4023	5	2424	300
4032	中级秘笈·龙战於野	95	OpenLevel89	150	15	4024	5	2424	300
4033	中级秘笈·阴风蚀骨	80	OpenLevel89	150	15	4025	5	2424	300
4034	中级秘笈·召唤毒虫	85	OpenLevel89	150	15	4026	5	2424	300
4035	中级秘笈·迷心蛊	90	OpenLevel89	150	15	4027	5	2424	300
4036	中级秘笈·万蛊蚀心	95	OpenLevel89	150	15	4028	5	2424	300
5209	中级秘笈·断潮	80	OpenLevel89	150	15	5201	5	2424	300
5210	中级秘笈·心剑	85	OpenLevel89	150	15	5202	5	2424	300
5211	中级秘笈·玉泉鱼跃	90	OpenLevel89	150	15	5203	5	2424	300
5212	中级秘笈·峰插云景	95	OpenLevel89	150	15	5204	5	2424	300
5213	中级秘笈·平沙雁落	80	OpenLevel89	150	15	5205	5	2424	300
5214	中级秘笈·云生结海	85	OpenLevel89	150	15	5206	5	2424	300
5215	中级秘笈·清音长啸	90	OpenLevel89	150	15	5207	5	2424	300
5216	中级秘笈·江逐月天	95	OpenLevel89	150	15	5208	5	2424	300
6678	中级秘笈·飞燕淩波	80	OpenLevel89	150	15	6675	5	2424	300
6679	中级秘笈·银瓶玉碎	85	OpenLevel89	150	15	6674	5	2424	300
6680	中级秘笈·空山凝云	90	OpenLevel89	150	15	6676	5	2424	300
6681	中级秘笈·水龙吟	95	OpenLevel89	150	15	6677	5	2424	300
7524	中级秘笈·化血劫光	80	OpenLevel89	150	15	7520	5	2424	300
7525	中级秘笈·挟山超海	85	OpenLevel89	150	15	7521	5	2424	300
7526	中级秘笈·逆血截脉	90	OpenLevel89	150	15	7522	5	2424	300
7527	中级秘笈·浴血蹈锋	95	OpenLevel89	150	15	7523	5	2424	300
8449	中级秘笈·萧史乘龙	80	OpenLevel89	150	15	8445	5	2424	300
8450	中级秘笈·天绅倒悬	85	OpenLevel89	150	15	8446	5	2424	300
8451	中级秘笈·朝阳一气剑	90	OpenLevel89	150	15	8447	5	2424	300
8452	中级秘笈·风送紫霞	95	OpenLevel89	150	15	8448	5	2424	300
