Type	Faction	SkillBookID	DESC
10	4	3325	高级秘笈·七探蛇盘
11	4	3326	高级秘笈·斗转星移
12	4	3327	高级秘笈·风卷残云
9	5	3333	高级秘笈·无我无剑
10	5	3335	高级秘笈·天地无极
11	5	3334	高级秘笈·坐忘无我
12	5	3336	高级秘笈·人剑合一
9	6	3340	高级秘笈·死亡回旋
10	6	3337	高级秘笈·魔焰在天
11	6	3338	高级秘笈·血月之影
12	6	3339	高级秘笈·摄魂乱心
9	7	3341	高级秘笈·降龙棍
10	7	3342	高级秘笈·大力金刚指
11	7	3343	高级秘笈·金刚伏魔
12	7	3344	高级秘笈·十二擒龙手
9	8	3345	高级秘笈·璿玑罗舞
10	8	3346	高级秘笈·雨打梨花
11	8	3347	高级秘笈·召唤啵啵
12	8	3348	高级秘笈·冰踪无影
9	9	3349	高级秘笈·缠身刺
10	9	3350	高级秘笈·暴雨梨花
11	9	3351	高级秘笈·迷影纵
12	9	3352	高级秘笈·九宫飞星
9	10	3353	高级秘笈·仙人指路
10	10	3354	高级秘笈·啸风三连击
11	10	3355	高级秘笈·混沌剑阵
12	10	3356	高级秘笈·雷动九天
9	11	4037	高级秘笈·亢龙有悔
10	11	4038	高级秘笈·困龙功
11	11	4039	高级秘笈·醉蝶狂舞
12	11	4040	高级秘笈·龙战於野
9	12	4041	高级秘笈·阴风蚀骨
10	12	4042	高级秘笈·召唤毒虫
11	12	4043	高级秘笈·迷心蛊
12	12	4044	高级秘笈·万蛊蚀心
9	13	5217	高级秘笈·断潮
10	13	5218	高级秘笈·心剑
11	13	5219	高级秘笈·玉泉鱼跃
12	13	5220	高级秘笈·峰插云景
9	14	5221	高级秘笈·平沙雁落
10	14	5222	高级秘笈·云生结海
11	14	5223	高级秘笈·清音长啸
12	14	5224	高级秘笈·江逐月天
9	15	6682	高级秘笈·飞燕淩波
10	15	6683	高级秘笈·银瓶玉碎
11	15	6684	高级秘笈·空山凝云
12	15	6685	高级秘笈·水龙吟
9	16	7528	高级秘笈·化血劫光
10	16	7529	高级秘笈·挟山超海
11	16	7530	高级秘笈·逆血截脉
12	16	7531	高级秘笈·浴血蹈锋
9	17	8453	高级秘笈·萧史乘龙
10	17	8454	高级秘笈·天绅倒悬
11	17	8455	高级秘笈·朝阳一气剑
12	17	8456	高级秘笈·风送紫霞
