NpcResId	Desc	bq01_frame	bq02_frame	bq03_frame	bq04_frame	bq05_frame	bq06_frame	bq07_frame	bq08_frame	dance_frame	dance01_frame	m1baost_frame	m1baowlk_frame	m1bbaost_frame	m1bbaowlk_frame	m1bqst_frame	m1bqwlk_frame	m1hrun_frame	m1hrun01_frame	m1hst_frame	m1hst01_frame	m1qst_frame	m1qwlk_frame	m1yb_frame	m1yb01_frame	m1ybst_frame	m1ybst01_frame	m2baost_frame	m2baowlk_frame	m2bbaost_frame	m2bbaowlk_frame	m2bqst_frame	m2bqwlk_frame	m2hrun_frame	m2hrun01_frame	m2hst_frame	m2hst01_frame	m2qst_frame	m2qwlk_frame	m2yb_frame	m2yb01_frame	m2ybst_frame	m2ybst01_frame	f1baost_frame	f1baowlk_frame	f1bbaost_frame	f1bbaowlk_frame	f1bqst_frame	f1bqwlk_frame	f1hrun_frame	f1hrun01_frame	f1hst_frame	f1hst01_frame	f1qst_frame	f1qwlk_frame	f1yb_frame	f1yb01_frame	f1ybst_frame	f1ybst01_frame	f2baost_frame	f2baowlk_frame	f2bbaost_frame	f2bbaowlk_frame	f2bqst_frame	f2bqwlk_frame	f2hrun_frame	f2hrun01_frame	f2hst_frame	f2hst01_frame	f2qst_frame	f2qwlk_frame	f2yb_frame	f2yb01_frame	f2ybst_frame	f2ybst01_frame	bq01_cross	bq02_cross	bq03_cross	bq04_cross	bq05_cross	bq06_cross	bq07_cross	dance_cross	dance01_cross	bq01_hideweapon	bq02_hideweapon	bq03_hideweapon	bq04_hideweapon	bq05_hideweapon	bq06_hideweapon	bq07_hideweapon	bq08_hideweapon	dance_hideweapon	dance01_hideweapon
1003	丐帮主角m6	35	42	62	14	35	70	81	20	92	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1									1	1
1004	五毒主角f6	30	62	46	15	43	77	100	20	102	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1									1	1
1005	藏剑主角m7	32	47	21	15	45	40	90	20	123	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1									1	1
1006	长歌主角f7	39	54	42	15	54	49	94	20	102	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	1	1	1	1	1	1	1	1	1
1007	天山男	32	44	41	15	38	43	52	20	123	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1				1			1	1	1	1
1008	天山女	40	54	42	16	50	49	104	20	102	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1				1			1	1	1	1
1009	霸刀主角-男	31	42	56	15	30	40	80	20	92	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	1	1	1	1	1	1	1	1	1
1010	霸刀主角-女	39	50	35	15	40	47	47	20	102	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1			1			1			1	1
1011	武当主角-女	38	55	34	15	40	48	131	20	102	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1		1				1			1	1
1012	华山主角-男	33	42	45	15	46	52	97	20	123	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1				1			1	1	1	1
1013	华山主角-女	39	55	58	15	40	56	141	20	102	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1				1			1	1	1	1
1014	昆仑主角-男	35	42	59	15	45	48	119	20	92	150	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	1	1	1	1	1	1	1	1	1
590	新郎183	39	42	15	20	34	91	45				30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1									1	1
591	新郎183	39	42	15	20	34	91	45				30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1									1	1
601	新郎183	39	42	15	20	34	91	45				30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1									1	1
602	新娘184	48	55	17	20	52	96	41				30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1									1	1
603	新娘184	48	55	17	20	52	96	41				30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1									1	1
604	新娘184	48	55	17	20	52	96	41				30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1									1	1
605	新娘萝莉185	30	52	15	20	52	100	55				30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1									1	1
606	新娘萝莉185	30	52	15	20	52	100	55				30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1									1	1
607	新娘萝莉185	30	52	15	20	52	100	55				30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	30	16	30	16	30	16	25	25	30	30	30	16	10	10	30	30	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1									1	1
