ResId	ResFile	ResAttribID	ResSlot	Desc	Scale	IsOrgColorValue	MinCastValue	SlotName1	SlotGray1	SlotMinCast1	Slot1Color1	Slot1Light1	Slot1Color2	Slot1Light2	Slot1Color3	Slot1Light3	SlotName2	SlotGray2	SlotMinCast2	Slot2Color1	Slot2Light1	Slot2Color2	Slot2Light2	Slot2Color3	Slot2Light3	SlotName3	SlotGray3	SlotMinCast3	Slot3Color1	Slot3Light1	Slot3Color2	Slot3Light2	Slot3Color3	Slot3Light3
1010	Player/Characters/M1/Prefab/M1_D008_Head.prefab	151010	head	M1标男等级装T10																														
1011	Player/Characters/M1/Prefab/M1_D002_Head.prefab	151011	head	M1标男等级装T11																														
1012	Player/Characters/M1/Prefab/M1_D007_Head.prefab	151012	head	M1标男等级装T12																														
1013	Player/Characters/M1/Prefab/M1_D013_Head.prefab	151013	head	M1标男等级装T13																														
1014	Player/Characters/M1/Prefab/M1_D014_Head.prefab		head	M1标男等级装T14		1		M1_D014_Head	0		251|215|151|67	1	54|46|43|11	1	255|255|255|29	1																		
1015	Player/Characters/M1/Prefab/M1_D015_Head.prefab		head	M1标男等级装T15				M1_D015_Head	1		255|230|157|0	1	63|50|46|45	1	255|255|255|117	1																		
1101	Player/Characters/M1/Prefab/M1_D010_Head.prefab	151101	head	M1标男等级装T6·黄金装																														
1102	Player/Characters/M1/Prefab/M1_D009_Head.prefab	151102	head	M1标男等级装T7·黄金装																														
1103	Player/Characters/M1/Prefab/M1_D005_Head.prefab	151103	head	M1标男等级装T8·黄金装																														
1104	Player/Characters/M1/Prefab/M1_D012_Head.prefab	151104	head	M1标男等级装T9·黄金装																														
1105	Player/Characters/M1/Prefab/M1_D008_Head.prefab	151105	head	M1标男等级装T10·黄金装																														
1106	Player/Characters/M1/Prefab/M1_D002_Head.prefab	151106	head	M1标男等级装T11·黄金装																														
1107	Player/Characters/M1/Prefab/M1_D007_Head.prefab	151107	head	M1标男等级装T12·黄金装																														
1108	Player/Characters/M1/Prefab/M1_D013_Head.prefab	151108	head	M1标男等级装T13·黄金装																														
1109	Player/Characters/M1/Prefab/M1_D014_Head.prefab		head	M1标男等级装T14·黄金装						M1_D014_Head	1		224|225|206|40	1.07	28|22|22|90	1	157|114|0|26	1.14																
1110	Player/Characters/M1/Prefab/M1_D015_Head.prefab		head	M1标男等级装T15·黄金装						M1_D015_Head	1		233|207|247|34	1.28	255|231|213|21	1.1	63|60|63|117	3.05																
1201	Player/Characters/M1/Prefab/M1_D001_Head.prefab	151201	head	M1标男等级装T1·偏色1																														
1202	Player/Characters/M1/Prefab/M1_D001_Head.prefab	151202	head	M1标男等级装T1·偏色2																														
1203	Player/Characters/M1/Prefab/M1_D001_Head.prefab	151203	head	M1标男等级装T1·偏色3																														
1204	Player/Characters/M1/Prefab/M1_D004_Head.prefab	151204	head	M1标男等级装T2·偏色1																														
1205	Player/Characters/M1/Prefab/M1_D004_Head.prefab	151205	head	M1标男等级装T2·偏色2																														
1206	Player/Characters/M1/Prefab/M1_D004_Head.prefab	151206	head	M1标男等级装T2·偏色3																														
1207	Player/Characters/M1/Prefab/M1_D003_Head.prefab	151207	head	M1标男等级装T3·偏色1																														
1208	Player/Characters/M1/Prefab/M1_D003_Head.prefab	151208	head	M1标男等级装T3·偏色2																														
1209	Player/Characters/M1/Prefab/M1_D003_Head.prefab	151209	head	M1标男等级装T3·偏色3																														
1210	Player/Characters/M1/Prefab/M1_D006_Head.prefab	151210	head	M1标男等级装T4·偏色1																														
1211	Player/Characters/M1/Prefab/M1_D006_Head.prefab	151211	head	M1标男等级装T4·偏色2																														
1212	Player/Characters/M1/Prefab/M1_D006_Head.prefab	151212	head	M1标男等级装T4·偏色3																														
1213	Player/Characters/M1/Prefab/M1_D011_Head.prefab	151213	head	M1标男等级装T5·偏色1																														
1214	Player/Characters/M1/Prefab/M1_D011_Head.prefab	151214	head	M1标男等级装T5·偏色2																														
1215	Player/Characters/M1/Prefab/M1_D011_Head.prefab	151215	head	M1标男等级装T5·偏色3																														
1216	Player/Characters/M1/Prefab/M1_D010_Head.prefab	151216	head	M1标男等级装T6·偏色1																														
1217	Player/Characters/M1/Prefab/M1_D010_Head.prefab	151217	head	M1标男等级装T6·偏色2																														
1218	Player/Characters/M1/Prefab/M1_D010_Head.prefab	151218	head	M1标男等级装T6·偏色3																														
1219	Player/Characters/M1/Prefab/M1_D009_Head.prefab	151219	head	M1标男等级装T7·偏色1																														
1220	Player/Characters/M1/Prefab/M1_D009_Head.prefab	151220	head	M1标男等级装T7·偏色2																														
1221	Player/Characters/M1/Prefab/M1_D009_Head.prefab	151221	head	M1标男等级装T7·偏色3																														
1222	Player/Characters/M1/Prefab/M1_D005_Head.prefab	151222	head	M1标男等级装T8·偏色1																														
1223	Player/Characters/M1/Prefab/M1_D005_Head.prefab	151223	head	M1标男等级装T8·偏色2																														
1224	Player/Characters/M1/Prefab/M1_D005_Head.prefab	151224	head	M1标男等级装T8·偏色3																														
1225	Player/Characters/M1/Prefab/M1_D012_Head.prefab	151225	head	M1标男等级装T9·偏色1																														
1226	Player/Characters/M1/Prefab/M1_D012_Head.prefab	151226	head	M1标男等级装T9·偏色2																														
1227	Player/Characters/M1/Prefab/M1_D012_Head.prefab	151227	head	M1标男等级装T9·偏色3																														
1228	Player/Characters/M1/Prefab/M1_D008_Head.prefab	151228	head	M1标男等级装T10·偏色1																														
1229	Player/Characters/M1/Prefab/M1_D008_Head.prefab	151229	head	M1标男等级装T10·偏色2																														
1230	Player/Characters/M1/Prefab/M1_D008_Head.prefab	151230	head	M1标男等级装T10·偏色3																														
1231	Player/Characters/M1/Prefab/M1_D002_Head.prefab	151231	head	M1标男等级装T11·偏色1																														
1232	Player/Characters/M1/Prefab/M1_D002_Head.prefab	151232	head	M1标男等级装T11·偏色2																														
1233	Player/Characters/M1/Prefab/M1_D002_Head.prefab	151233	head	M1标男等级装T11·偏色3																														
1234	Player/Characters/M1/Prefab/M1_D007_Head.prefab	151234	head	M1标男等级装T12·偏色1																														
1235	Player/Characters/M1/Prefab/M1_D007_Head.prefab	151235	head	M1标男等级装T12·偏色2																														
1236	Player/Characters/M1/Prefab/M1_D007_Head.prefab	151236	head	M1标男等级装T12·偏色3																														
1237	Player/Characters/M1/Prefab/M1_D013_Head.prefab	151237	head	M1标男等级装T13·偏色1																														
1238	Player/Characters/M1/Prefab/M1_D013_Head.prefab	151238	head	M1标男等级装T13·偏色2																														
1239	Player/Characters/M1/Prefab/M1_D013_Head.prefab	151239	head	M1标男等级装T13·偏色3																														
1241	Player/Characters/M1/Prefab/M1_D001_Head.prefab	151241	head	M1标男等级装T1·偏色4																														
1242	Player/Characters/M1/Prefab/M1_D004_Head.prefab	151242	head	M1标男等级装T2·偏色4																														
1243	Player/Characters/M1/Prefab/M1_D003_Head.prefab	151243	head	M1标男等级装T3·偏色4																														
1244	Player/Characters/M1/Prefab/M1_D006_Head.prefab	151244	head	M1标男等级装T4·偏色4																														
1245	Player/Characters/M1/Prefab/M1_D011_Head.prefab	151245	head	M1标男等级装T5·偏色4																														
1246	Player/Characters/M1/Prefab/M1_D010_Head.prefab	151246	head	M1标男等级装T6·偏色4																														
1247	Player/Characters/M1/Prefab/M1_D009_Head.prefab	151247	head	M1标男等级装T7·偏色4																														
1248	Player/Characters/M1/Prefab/M1_D005_Head.prefab	151248	head	M1标男等级装T8·偏色4																														
1249	Player/Characters/M1/Prefab/M1_D012_Head.prefab	151249	head	M1标男等级装T9·偏色4																														
1250	Player/Characters/M1/Prefab/M1_D008_Head.prefab	151250	head	M1标男等级装T10·偏色4																														
1251	Player/Characters/M1/Prefab/M1_D002_Head.prefab	151251	head	M1标男等级装T11·偏色4																														
1252	Player/Characters/M1/Prefab/M1_D007_Head.prefab	151252	head	M1标男等级装T12·偏色4																														
1253	Player/Characters/M1/Prefab/M1_D013_Head.prefab	151253	head	M1标男等级装T13·偏色4																														
1261	Player/Characters/M1/Prefab/M1_D014_Head.prefab		head	M1标男等级装T14·偏色1				M1_D014_Head	1		234|192|117|67	1	28|22|22|90	1	48|48|48|52	1	135|34|36|0	1.36																
1262	Player/Characters/M1/Prefab/M1_D014_Head.prefab		head	M1标男等级装T14·偏色2				M1_D014_Head	1		245|169|101|67	1	27|28|22|90	1	213|213|213|26	1	50|50|50|0	0.86																
1263	Player/Characters/M1/Prefab/M1_D014_Head.prefab		head	M1标男等级装T14·偏色3				M1_D014_Head	1		224|225|206|40	1.07	22|23|28|90	1	119|124|219|26	1.14	232|232|232|0	1.22																
1264	Player/Characters/M1/Prefab/M1_D015_Head.prefab		head	M1标男等级装T15·偏色1				M1_D015_Head	1		253|202|98|34	1	80|62|43|21	1	84|78|70|117	4.43	223|220|216|8	1.21																
1265	Player/Characters/M1/Prefab/M1_D015_Head.prefab		head	M1标男等级装T15·偏色2				M1_D015_Head	1		253|208|98|34	1	63|47|43|21	1	14|101|61|117	3.05	217|211|201|8	1.21																
1266	Player/Characters/M1/Prefab/M1_D015_Head.prefab		head	M1标男等级装T15·偏色3				M1_D015_Head	1		224|238|238|34	1.14	76|51|39|21	1.1	101|88|14|117	3.05	44|40|35|24	1.21																
2001	Player/Characters/M2/Prefab/M2_D011_Head.prefab	152001	head	M2壮男等级装T1																														
2002	Player/Characters/M2/Prefab/M2_D004_Head.prefab	152002	head	M2壮男等级装T2																														
2003	Player/Characters/M2/Prefab/M2_D010_Head.prefab	152003	head	M2壮男等级装T3																														
2004	Player/Characters/M2/Prefab/M2_D002_Head.prefab	152004	head	M2壮男等级装T4																														
2005	Player/Characters/M2/Prefab/M2_D007_Head.prefab	152005	head	M2壮男等级装T5																														
2006	Player/Characters/M2/Prefab/M2_D001_Head.prefab	152006	head	M2壮男等级装T6																														
2007	Player/Characters/M2/Prefab/M2_D005_Head.prefab	152007	head	M2壮男等级装T7																														
2008	Player/Characters/M2/Prefab/M2_D003_Head.prefab	152008	head	M2壮男等级装T8																														
2009	Player/Characters/M2/Prefab/M2_D012_Head.prefab	152009	head	M2壮男等级装T9																														
2010	Player/Characters/M2/Prefab/M2_D006_Head.prefab	152010	head	M2壮男等级装T10																														
2011	Player/Characters/M2/Prefab/M2_D009_Head.prefab	152011	head	M2壮男等级装T11																														
2012	Player/Characters/M2/Prefab/M2_D013_Head.prefab	152012	head	M2壮男等级装T12																														
2013	Player/Characters/M2/Prefab/M2_D008_Head.prefab	152013	head	M2壮男等级装T13																														
2014	Player/Characters/M2/Prefab/M2_D014_Head.prefab		head	M2壮男等级装T14		1		M2_D014_Head	0		255|255|255|50	1	30|25|22|65	1	64|46|32|0	1																		
2015	Player/Characters/M2/Prefab/M2_D015_Head.prefab		head	M2壮男等级装T15				M2_D015_Head	1		255|255|255|41	1	60|47|47|23	1	255|255|255|66	1																		
2101	Player/Characters/M2/Prefab/M2_D001_Head.prefab	152101	head	M2壮男等级装T6·黄金装																														
2102	Player/Characters/M2/Prefab/M2_D005_Head.prefab	152102	head	M2壮男等级装T7·黄金装																														
2103	Player/Characters/M2/Prefab/M2_D003_Head.prefab	152103	head	M2壮男等级装T8·黄金装																														
2104	Player/Characters/M2/Prefab/M2_D012_Head.prefab	152104	head	M2壮男等级装T9·黄金装																														
2105	Player/Characters/M2/Prefab/M2_D006_Head.prefab	152105	head	M2壮男等级装T10·黄金装																														
2106	Player/Characters/M2/Prefab/M2_D009_Head.prefab	152106	head	M2壮男等级装T11·黄金装																														
2107	Player/Characters/M2/Prefab/M2_D013_Head.prefab	152107	head	M2壮男等级装T12·黄金装																														
2108	Player/Characters/M2/Prefab/M2_D008_Head.prefab	152108	head	M2壮男等级装T13·黄金装																														
2109	Player/Characters/M2/Prefab/M2_D014_Head.prefab		head	M2壮男等级装T14·黄金装				1		M2_D014_Head	0		255|249|54|50	1.14	33|33|33|0	1.27	89|72|72|0	1																
2110	Player/Characters/M2/Prefab/M2_D015_Head.prefab		head	M2壮男等级装T15·黄金装						M2_D015_Head	1		255|255|255|41	1	219|219|219|0	1	166|144|87|77	1																
2201	Player/Characters/M2/Prefab/M2_D011_Head.prefab	152201	head	M2壮男等级装T1·偏色1																														
2202	Player/Characters/M2/Prefab/M2_D011_Head.prefab	152202	head	M2壮男等级装T1·偏色2																														
2203	Player/Characters/M2/Prefab/M2_D011_Head.prefab	152203	head	M2壮男等级装T1·偏色3																														
2204	Player/Characters/M2/Prefab/M2_D004_Head.prefab	152204	head	M2壮男等级装T2·偏色1																														
2205	Player/Characters/M2/Prefab/M2_D004_Head.prefab	152205	head	M2壮男等级装T2·偏色2																														
2206	Player/Characters/M2/Prefab/M2_D004_Head.prefab	152206	head	M2壮男等级装T2·偏色3																														
2207	Player/Characters/M2/Prefab/M2_D010_Head.prefab	152207	head	M2壮男等级装T3·偏色1																														
2208	Player/Characters/M2/Prefab/M2_D010_Head.prefab	152208	head	M2壮男等级装T3·偏色2																														
2209	Player/Characters/M2/Prefab/M2_D010_Head.prefab	152209	head	M2壮男等级装T3·偏色3																														
2210	Player/Characters/M2/Prefab/M2_D002_Head.prefab	152210	head	M2壮男等级装T4·偏色1																														
2211	Player/Characters/M2/Prefab/M2_D002_Head.prefab	152211	head	M2壮男等级装T4·偏色2																														
2212	Player/Characters/M2/Prefab/M2_D002_Head.prefab	152212	head	M2壮男等级装T4·偏色3																														
2213	Player/Characters/M2/Prefab/M2_D007_Head.prefab	152213	head	M2壮男等级装T5·偏色1																														
2214	Player/Characters/M2/Prefab/M2_D007_Head.prefab	152214	head	M2壮男等级装T5·偏色2																														
2215	Player/Characters/M2/Prefab/M2_D007_Head.prefab	152215	head	M2壮男等级装T5·偏色3																														
2216	Player/Characters/M2/Prefab/M2_D001_Head.prefab	152216	head	M2壮男等级装T6·偏色1																														
2217	Player/Characters/M2/Prefab/M2_D001_Head.prefab	152217	head	M2壮男等级装T6·偏色2																														
2218	Player/Characters/M2/Prefab/M2_D001_Head.prefab	152218	head	M2壮男等级装T6·偏色3																														
2219	Player/Characters/M2/Prefab/M2_D005_Head.prefab	152219	head	M2壮男等级装T7·偏色1																														
2220	Player/Characters/M2/Prefab/M2_D005_Head.prefab	152220	head	M2壮男等级装T7·偏色2																														
2221	Player/Characters/M2/Prefab/M2_D005_Head.prefab	152221	head	M2壮男等级装T7·偏色3																														
2222	Player/Characters/M2/Prefab/M2_D003_Head.prefab	152222	head	M2壮男等级装T8·偏色1																														
2223	Player/Characters/M2/Prefab/M2_D003_Head.prefab	152223	head	M2壮男等级装T8·偏色2																														
2224	Player/Characters/M2/Prefab/M2_D003_Head.prefab	152224	head	M2壮男等级装T8·偏色3																														
2225	Player/Characters/M2/Prefab/M2_D012_Head.prefab	152225	head	M2壮男等级装T9·偏色1																														
2226	Player/Characters/M2/Prefab/M2_D012_Head.prefab	152226	head	M2壮男等级装T9·偏色2																														
2227	Player/Characters/M2/Prefab/M2_D012_Head.prefab	152227	head	M2壮男等级装T9·偏色3																														
2228	Player/Characters/M2/Prefab/M2_D006_Head.prefab	152228	head	M2壮男等级装T10·偏色1																														
2229	Player/Characters/M2/Prefab/M2_D006_Head.prefab	152229	head	M2壮男等级装T10·偏色2																														
2230	Player/Characters/M2/Prefab/M2_D006_Head.prefab	152230	head	M2壮男等级装T10·偏色3																														
2231	Player/Characters/M2/Prefab/M2_D009_Head.prefab	152231	head	M2壮男等级装T11·偏色1																														
2232	Player/Characters/M2/Prefab/M2_D009_Head.prefab	152232	head	M2壮男等级装T11·偏色2																														
2233	Player/Characters/M2/Prefab/M2_D009_Head.prefab	152233	head	M2壮男等级装T11·偏色3																														
2234	Player/Characters/M2/Prefab/M2_D013_Head.prefab	152234	head	M2壮男等级装T12·偏色1																														
2235	Player/Characters/M2/Prefab/M2_D013_Head.prefab	152235	head	M2壮男等级装T12·偏色2																														
2236	Player/Characters/M2/Prefab/M2_D013_Head.prefab	152236	head	M2壮男等级装T12·偏色3																														
2237	Player/Characters/M2/Prefab/M2_D008_Head.prefab	152237	head	M2壮男等级装T13·偏色1																														
2238	Player/Characters/M2/Prefab/M2_D008_Head.prefab	152238	head	M2壮男等级装T13·偏色2																														
2239	Player/Characters/M2/Prefab/M2_D008_Head.prefab	152239	head	M2壮男等级装T13·偏色3																														
2241	Player/Characters/M2/Prefab/M2_D011_Head.prefab	152241	head	M2壮男等级装T1·偏色4																														
2242	Player/Characters/M2/Prefab/M2_D004_Head.prefab	152242	head	M2壮男等级装T2·偏色4																														
2243	Player/Characters/M2/Prefab/M2_D010_Head.prefab	152243	head	M2壮男等级装T3·偏色4																														
2244	Player/Characters/M2/Prefab/M2_D002_Head.prefab	152244	head	M2壮男等级装T4·偏色4																														
2245	Player/Characters/M2/Prefab/M2_D007_Head.prefab	152245	head	M2壮男等级装T5·偏色4																														
2246	Player/Characters/M2/Prefab/M2_D001_Head.prefab	152246	head	M2壮男等级装T6·偏色4																														
2247	Player/Characters/M2/Prefab/M2_D005_Head.prefab	152247	head	M2壮男等级装T7·偏色4																														
2248	Player/Characters/M2/Prefab/M2_D003_Head.prefab	152248	head	M2壮男等级装T8·偏色4																														
2249	Player/Characters/M2/Prefab/M2_D012_Head.prefab	152249	head	M2壮男等级装T9·偏色4																														
2250	Player/Characters/M2/Prefab/M2_D006_Head.prefab	152250	head	M2壮男等级装T10·偏色4																														
2251	Player/Characters/M2/Prefab/M2_D009_Head.prefab	152251	head	M2壮男等级装T11·偏色4																														
2252	Player/Characters/M2/Prefab/M2_D013_Head.prefab	152252	head	M2壮男等级装T12·偏色4																														
2253	Player/Characters/M2/Prefab/M2_D008_Head.prefab	152253	head	M2壮男等级装T13·偏色4																														
2261	Player/Characters/M2/Prefab/M2_D014_Head.prefab		head	M2壮男等级装T14·偏色1				M2_D014_Head	1		255|255|255|50	1.14	44|44|44|53	1.27	101|101|101|0	1																		
2262	Player/Characters/M2/Prefab/M2_D014_Head.prefab		head	M2壮男等级装T14·偏色2		1		M2_D014_Head	0		91|93|255|50	1.14	33|33|33|0	1.27	59|59|59|141	1																		
2263	Player/Characters/M2/Prefab/M2_D014_Head.prefab		head	M2壮男等级装T14·偏色3		1		M2_D014_Head	0		255|54|54|50	1.14	33|33|33|0	1.27	89|72|72|0	1																		
2264	Player/Characters/M2/Prefab/M2_D015_Head.prefab		head	M2壮男等级装T15·偏色1				M2_D015_Head	1		255|255|255|41	1	43|35|56|23	1	198|124|225|66	1																		
2265	Player/Characters/M2/Prefab/M2_D015_Head.prefab		head	M2壮男等级装T15·偏色2				M2_D015_Head	1		255|255|255|41	1	47|52|67|23	1	215|225|124|66	1																		
2266	Player/Characters/M2/Prefab/M2_D015_Head.prefab		head	M2壮男等级装T15·偏色3				M2_D015_Head	1		255|255|255|41	1	61|33|33|23	1	215|225|124|66	1																		
3001	Player/Characters/F1/Prefab/F1_D005_Head.prefab	153001	head	F1萝莉等级装T1																														
3002	Player/Characters/F1/Prefab/F1_D009_Head.prefab	153002	head	F1萝莉等级装T2																														
3003	Player/Characters/F1/Prefab/F1_D008_Head.prefab	153003	head	F1萝莉等级装T3																														
3004	Player/Characters/F1/Prefab/F1_D012_Head.prefab	153004	head	F1萝莉等级装T4																														
3005	Player/Characters/F1/Prefab/F1_D006_Head.prefab	153005	head	F1萝莉等级装T5																														
3006	Player/Characters/F1/Prefab/F1_D011_Head.prefab	153006	head	F1萝莉等级装T6																														
3007	Player/Characters/F1/Prefab/F1_D003_Head.prefab	153007	head	F1萝莉等级装T7																														
3008	Player/Characters/F1/Prefab/F1_D007_Head.prefab	153008	head	F1萝莉等级装T8																														
3009	Player/Characters/F1/Prefab/F1_D010_Head.prefab	153009	head	F1萝莉等级装T9																														
3010	Player/Characters/F1/Prefab/F1_D004_Head.prefab	153010	head	F1萝莉等级装T10																														
3011	Player/Characters/F1/Prefab/F1_D002_Head.prefab	153011	head	F1萝莉等级装T11																														
3012	Player/Characters/F1/Prefab/F1_D013_Head.prefab	153012	head	F1萝莉等级装T12																														
3013	Player/Characters/F1/Prefab/F1_D001_Head.prefab	153013	head	F1萝莉等级装T13																														
3014	Player/Characters/F1/Prefab/F1_D014_Head.prefab		head	F1萝莉等级装T14		1		F1_D014_Head	0		255|255|255|93	1	59|60|60|255	1	255|106|106|46	1																		
3015	Player/Characters/F1/Prefab/F1_D015_Head.prefab		head	F1萝莉等级装T15		1		F1_D015_Head	0		255|255|255|102	1	69|69|69|102	1	255|255|255|106	1																		
3101	Player/Characters/F1/Prefab/F1_D011_Head.prefab	153101	head	F1萝莉等级装T6·黄金装																														
3102	Player/Characters/F1/Prefab/F1_D003_Head.prefab	153102	head	F1萝莉等级装T7·黄金装																														
3103	Player/Characters/F1/Prefab/F1_D007_Head.prefab	153103	head	F1萝莉等级装T8·黄金装																														
3104	Player/Characters/F1/Prefab/F1_D010_Head.prefab	153104	head	F1萝莉等级装T9·黄金装																														
3105	Player/Characters/F1/Prefab/F1_D004_Head.prefab	153105	head	F1萝莉等级装T10·黄金装																														
3106	Player/Characters/F1/Prefab/F1_D002_Head.prefab	153106	head	F1萝莉等级装T11·黄金装																														
3107	Player/Characters/F1/Prefab/F1_D013_Head.prefab	153107	head	F1萝莉等级装T12·黄金装																														
3108	Player/Characters/F1/Prefab/F1_D001_Head.prefab	153108	head	F1萝莉等级装T13·黄金装																														
3109	Player/Characters/F1/Prefab/F1_D014_Head.prefab		head	F1萝莉等级装T14·黄金装				1		F1_D014_Head	0		255|255|255|93	1	54|52|52|255	1	255|232|106|212	1																
3110	Player/Characters/F1/Prefab/F1_D015_Head.prefab		head	F1萝莉等级装T15·黄金装						F1_D015_Head	1		255|255|255|102	1	255|255|255|102	1	255|205|0|106	1.56																
3201	Player/Characters/F1/Prefab/F1_D005_Head.prefab	153201	head	F1萝莉等级装T1·偏色1																														
3202	Player/Characters/F1/Prefab/F1_D005_Head.prefab	153202	head	F1萝莉等级装T1·偏色2																														
3203	Player/Characters/F1/Prefab/F1_D005_Head.prefab	153203	head	F1萝莉等级装T1·偏色3																														
3204	Player/Characters/F1/Prefab/F1_D009_Head.prefab	153204	head	F1萝莉等级装T2·偏色1																														
3205	Player/Characters/F1/Prefab/F1_D009_Head.prefab	153205	head	F1萝莉等级装T2·偏色2																														
3206	Player/Characters/F1/Prefab/F1_D009_Head.prefab	153206	head	F1萝莉等级装T2·偏色3																														
3207	Player/Characters/F1/Prefab/F1_D008_Head.prefab	153207	head	F1萝莉等级装T3·偏色1																														
3208	Player/Characters/F1/Prefab/F1_D008_Head.prefab	153208	head	F1萝莉等级装T3·偏色2																														
3209	Player/Characters/F1/Prefab/F1_D008_Head.prefab	153209	head	F1萝莉等级装T3·偏色3																														
3210	Player/Characters/F1/Prefab/F1_D012_Head.prefab	153210	head	F1萝莉等级装T4·偏色1																														
3211	Player/Characters/F1/Prefab/F1_D012_Head.prefab	153211	head	F1萝莉等级装T4·偏色2																														
3212	Player/Characters/F1/Prefab/F1_D012_Head.prefab	153212	head	F1萝莉等级装T4·偏色3																														
3213	Player/Characters/F1/Prefab/F1_D006_Head.prefab	153213	head	F1萝莉等级装T5·偏色1																														
3214	Player/Characters/F1/Prefab/F1_D006_Head.prefab	153214	head	F1萝莉等级装T5·偏色2																														
3215	Player/Characters/F1/Prefab/F1_D006_Head.prefab	153215	head	F1萝莉等级装T5·偏色3																														
3216	Player/Characters/F1/Prefab/F1_D011_Head.prefab	153216	head	F1萝莉等级装T6·偏色1																														
3217	Player/Characters/F1/Prefab/F1_D011_Head.prefab	153217	head	F1萝莉等级装T6·偏色2																														
