nGroup	nIndex	nLevel	nAwardGold	nDay	version_tx	version_vn	version_hk	version_xm	version_en	version_kor	version_th
7	12	1	600	23	1		1	1	1	1	1
7	13	1	600	25	1		1	1	1	1	1
7	14	1	800	27	1		1	1	1	1	1
7	1	0	800	1		1					
7	2	1	400	3		1					
7	3	1	400	5		1					
7	4	1	400	7		1					
7	5	1	400	9		1					
7	6	1	400	11		1					
7	7	1	400	13		1					
7	8	1	400	15		1					
7	9	1	400	17		1					
7	10	1	400	19		1					
7	11	1	400	21		1					
7	12	1	400	23		1					
7	13	1	400	25		1					
7	14	1	800	27		1					
8	1	120	2160		1		1	1			1
8	2	123	1080		1		1	1			1
8	3	126	2160		1		1	1			1
8	4	128	1080		1		1	1			1
8	5	130	2160		1		1	1			1
8	1	120	1960			1					
8	2	123	980			1					
8	3	126	1560			1					
8	4	128	980			1					
8	5	130	1560			1					
8	1	120	2180							1	
8	2	123	1000							1	
8	3	126	1000							1	
8	4	128	1500							1	
8	5	130	2000							1	
9	1	130	2160		1		1	1			1
9	2	133	1080		1		1	1			1
9	3	136	2160		1		1	1			1
9	4	138	1080		1		1	1			1
9	5	140	2160		1		1	1			1
9	1	130	1960			1					
9	2	133	980			1					
9	3	136	1560			1					
9	4	138	980			1					
9	5	140	1560			1					
9	1	130	2180							1	
9	2	133	1000							1	
9	3	136	1000							1	
9	4	138	1500							1	
9	5	140	2000							1	
10	1	140	2160		1		1	1			1
10	2	143	1080		1		1	1			1
10	3	146	2160		1		1	1			1
10	4	148	1080		1		1	1			1
10	5	150	2160		1		1	1			1
10	1	140	2180							1	
10	2	143	1000							1	
10	3	146	1000							1	
10	4	148	1500							1	
10	5	150	2000							1	
