nId	szMark	szRecordFormat	szRelation	szRepeat	nGlobal
55	美女评选决赛第一	美女评选中获得决赛第一		nolimit	
56	美女评选海选赛第一（全服红包）	美女评选中获得海选赛第一		nolimit	1
57	美女评选决赛前十（全服红包）	美女评选中获得决赛前十		nolimit	1
58	美女评选决赛第一（全服红包）	美女评选中获得决赛第一		nolimit	1
59	美女评选决赛前十	美女评选中获得决赛前十		nolimit	
60	月度通天塔八层	登上月度通天塔八层	=	nolimit	
61	购买每日礼包7日套包	购买每日礼包7日套包		nolimit	
62	美女评选决赛获投8000	美女评选决赛获投8000票	>=	nolimit	
63	美女评选决赛获投8000（全服红包）	美女评选决赛获投8000票	>=	nolimit	1
65	武林大会冠军	在武林大会中获得冠军		nolimit	
66	武林大会四强	在武林大会中进入四强		nolimit	
67	武林大会十六强	在武林大会进入十六强		nolimit	
68	武林大会组长	在武林大会表现优异		nolimit	
69	武林大会冠军（全服红包）	在武林大会中获得冠军		nolimit	1
70	武林大会四强（全服红包）	在武林大会中进入四强		nolimit	1
71	盛夏礼包（648）	购买盛夏骄阳礼包		nolimit	
72	盛夏礼包（298）	购买盛夏苍翠礼包		nolimit	
73	盛夏礼包（98）	购买盛夏莲碧礼包		nolimit	
74	盛夏礼包（30）	购买盛夏蝉鸣礼包		nolimit	
75	西域行商（全服红包）	西域行商拍卖竞价超1千		nolimit	1
76	西域行商（全服红包）	西域行商拍卖竞价超2千		nolimit	1
77	西域行商（全服红包）	西域行商拍卖竞价超5千		nolimit	1
78	西域行商（全服红包）	西域行商拍卖竞价超1万		nolimit	1
79	西域行商（全服红包）	西域行商拍卖竞价超2万		nolimit	1
80	西域行商（全服红包）	西域行商拍卖竞价超5万		nolimit	1
81	西域行商（全服红包）	西域行商拍卖竞价超10万		nolimit	1
82	西域行商（全服红包）	西域行商拍卖竞价超12万		nolimit	1
83	西域行商（全服红包）	西域行商拍卖竞价超15万		nolimit	1
84	西域行商（全服红包）	西域行商拍卖竞价超18万		nolimit	1
85	西域行商（全服红包）	西域行商拍卖竞价超20万		nolimit	1
86	资料片礼包（648）	购买华山狂欢礼包		nolimit	
87	资料片礼包（298）	购买华山庆典礼包		nolimit	
88	资料片礼包（98）	购买华山焕新礼包		nolimit	
89	资料片礼包（30）	购买华山喜庆礼包		nolimit	
90	举办庄园·晚樱连理婚礼	举办庄园·晚樱连理婚礼	=	nolimit	
91	举办海岛·红鸾揽月婚礼	举办海岛·红鸾揽月婚礼	=	nolimit	
92	举办舫舟·乘龙配凤婚礼	举办舫舟·乘龙配凤婚礼	=	nolimit	
93	季度通天塔八层	登上季度通天塔八层	=	nolimit	
94	月度心魔幻境优胜	获得月度心魔幻境的优胜		nolimit	
95	季度心魔幻境优胜	获得季度心魔幻境的优胜		nolimit	
96	结婚半年	结婚满半年		nolimit	
97	购买一本万利·陆	购买一本万利·陆		nolimit	
98	购买一本万利·柒	购买一本万利·柒		nolimit	
99	群英会排名	在群英会中获得第一	=	weekly	
100	季度战场第一	获得季度战场第一	<=	nolimit	
101	年度战场第一（帮派）	获得年度战场第一	<=	nolimit	
102	年度战场第一（全服）	获得年度战场第一	<=	nolimit	1
103	购买一本万利·捌	购买一本万利·捌		nolimit	
104	购买至尊7日礼包	购买至尊7日礼包		nolimit	
105	年度通天塔八层	登上年度通天塔八层	=	nolimit	
106	好声音评选海选赛获投199票	好声音评选海选赛获投199票	>=	nolimit	
107	好声音评选获得海选赛前十	好声音评选海选赛前十		nolimit	
108	好声音评选获得海选赛第一	好声音评选海选赛第一		nolimit	
109	好声音评选复赛获投8000票	好声音评选复赛获投8000票	>=	nolimit	
110	好声音评选获得复赛区域前三	好声音评选复赛区域前三		nolimit	
111	好声音评选获得复赛门派前三	好声音评选复赛门派前三		nolimit	
112	好声音评选获得复赛区域冠军	好声音评选复赛区域冠军		nolimit	
113	好声音评选获得复赛门派冠军	好声音评选复赛门派冠军		nolimit	
114	好声音评选获得复赛冠军	好声音评选复赛冠军		nolimit	
115	好声音评选获得决赛前十	好声音评选决赛前十		nolimit	
116	好声音评选获得决赛第一	好声音评选决赛第一		nolimit	
117	好声音评选获得海选赛第一（全服红包）	好声音评选海选赛第一		nolimit	1
118	好声音评选复赛获投8000票（全服红包）	好声音评选复赛获投8000票	>=	nolimit	1
119	好声音评选获得复赛区域前三（全服红包）	好声音评选复赛区域前三		nolimit	1
120	好声音评选获得复赛门派前三（全服红包）	好声音评选复赛门派前三		nolimit	1
121	好声音评选获得复赛区域冠军（全服红包）	好声音评选复赛区域冠军		nolimit	1
122	好声音评选获得复赛门派冠军（全服红包）	好声音评选复赛门派冠军		nolimit	1
123	好声音评选获得复赛冠军（全服红包）	好声音评选复赛冠军		nolimit	1
124	好声音评选获得决赛前十（全服红包）	好声音评选决赛前十		nolimit	1
125	好声音评选获得决赛第一（全服红包）	好声音评选决赛第一		nolimit	1
134	雄才伟略	作为总堂主在帮派遭遇战中表现优秀		nolimit	
135	古之名将不能及	作为堂主在帮派遭遇战中表现优秀		nolimit	
136	料敌机先	作为总堂主在帮派遭遇战中表现良好		nolimit	
137	万军从我塞上征	作为堂主在帮派遭遇战中表现良好		nolimit	
138	结婚一年	结婚满一年		nolimit	
